date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-10-07,00733,富邦臺灣中小,TWSE,152466000,2706890,1.77
2025-10-07,00735,國泰臺韓科技,TWSE,8289000,1521495,18.35
2025-10-07,00736,國泰新興市場,TWSE,5727000,102000,1.78
2025-10-07,00737,國泰AI機器人,TWSE,24038000,388819,1.61
2025-10-07,00738U,期元大道瓊白銀,TWSE,105299000,732086,0.69
2025-10-07,00739,元大MSCI A股,TWSE,33988000,253026,0.74
2025-10-07,00752,中信中國50,TWSE,282716000,1576432,0.55
2025-10-07,00753L,中信中國50正2,TWSE,741157000,73080000,9.86
2025-10-07,00757,統一FANG+,TWSE,373494000,5345748,1.43
2025-10-07,00762,元大全球AI,TWSE,56248000,1485667,2.64
2025-10-07,00763U,期街口道瓊銅,TWSE,47065000,567530,1.2
2025-10-07,00770,國泰北美科技,TWSE,78458000,885317,1.12
2025-10-07,00771,元大US高息特別股,TWSE,16225000,56000,0.34
2025-10-07,00775B,新光投等債15+,TWSE,232600000,883000,0.37
2025-10-07,00783,富邦中証500,TWSE,14031000,455000,3.24
2025-10-07,00830,國泰費城半導體,TWSE,566965000,27516162,4.85
2025-10-07,00850,元大臺灣ESG永續,TWSE,462944000,1501506,0.32
2025-10-07,00851,台新全球AI,TWSE,6525000,52603,0.8
2025-10-07,00852L,國泰美國道瓊正2,TWSE,10365000,991000,9.56
2025-10-07,00861,元大全球未來通訊,TWSE,74412000,483822,0.65
2025-10-07,00865B,國泰US短期公債,TWSE,109244000,774300,0.7
2025-10-07,00875,國泰網路資安,TWSE,16488000,490711,2.97
2025-10-07,00876,元大全球5G,TWSE,82524000,259985,0.31
2025-10-07,00878,國泰永續高股息,TWSE,21182290000,190602905,0.89
2025-10-07,00881,國泰台灣科技龍頭,TWSE,2378403000,13172265,0.55
2025-10-07,00882,中信中國高股息,TWSE,2644349000,6560469,0.24
2025-10-07,00885,富邦越南,TWSE,889738000,23437569,2.63
2025-10-07,00891,中信關鍵半導體,TWSE,1108590000,19390727,1.74
2025-10-07,00892,富邦台灣半導體,TWSE,260292000,1563686,0.6
2025-10-07,00893,國泰智能電動車,TWSE,424884000,1380793,0.32
2025-10-07,00894,中信小資高價30,TWSE,126009000,989360,0.78
2025-10-07,00895,富邦未來車,TWSE,174916000,1080010,0.61
2025-10-07,00896,中信綠能及電動車,TWSE,225380000,1190503,0.52
2025-10-07,00897,富邦基因免疫生技,TWSE,192512000,2641200,1.37
2025-10-07,00898,國泰基因免疫革命,TWSE,201976000,1629300,0.8
2025-10-07,00899,FT潔淨能源,TWSE,22135000,108373,0.48
2025-10-07,00900,富邦特選高股息30,TWSE,2456525000,9500683,0.38
2025-10-07,00901,永豐智能車供應鏈,TWSE,66349000,578100,0.87
2025-10-07,00902,中信電池及儲能,TWSE,430997000,6275062,1.45
2025-10-07,00903,富邦元宇宙,TWSE,78221000,1690328,2.16
2025-10-07,00904,新光臺灣半導體30,TWSE,99112000,263981,0.26
2025-10-07,00905,FT臺灣Smart,TWSE,385327000,1104792,0.28
2025-10-07,00907,永豐優息存股,TWSE,213633000,1150238,0.53
2025-10-07,00908,富邦入息REITs+,TWSE,42416000,732751,1.72
2025-10-07,00909,國泰數位支付服務,TWSE,147204000,3069238,2.08
2025-10-07,00910,第一金太空衛星,TWSE,42439000,102729,0.24
2025-10-07,00911,兆豐洲際半導體,TWSE,21903000,3068354,14.0
2025-10-07,00912,中信臺灣智慧50,TWSE,61253000,633010,1.03
2025-10-07,00913,兆豐台灣晶圓製造,TWSE,11766000,293103,2.49
2025-10-07,00915,凱基優選高股息30,TWSE,1187983000,5440338,0.45
2025-10-07,00916,國泰全球品牌50,TWSE,74419000,1216720,1.63
2025-10-07,00917,中信特選金融,TWSE,28978000,423041,1.45
2025-10-07,00918,大華優利高填息30,TWSE,3635264000,31638434,0.87
2025-10-07,00919,群益台灣精選高息,TWSE,19531635000,110250391,0.56
2025-10-07,00920,富邦ESG綠色電力,TWSE,12280000,1695020,13.8
2025-10-07,00921,兆豐龍頭等權重,TWSE,108770000,812317,0.74
2025-10-07,00922,國泰台灣領袖50,TWSE,1403186000,198207721,14.12
2025-10-07,00923,群益台ESG低碳50,TWSE,808923000,1908858,0.23
2025-10-07,00924,復華S&P500成長,TWSE,486603000,1454200,0.29
2025-10-07,00926,凱基全球菁英55,TWSE,85982000,1796958,2.08
2025-10-07,00927,群益半導體收益,TWSE,568397000,4161684,0.73
2025-10-07,00929,復華台灣科技優息,TWSE,7838639000,67846473,0.86
2025-10-07,00930,永豐ESG低碳高息,TWSE,309779000,2343612,0.75
2025-10-07,00932,兆豐永續高息等權,TWSE,272783000,1671425,0.61
2025-10-07,00934,中信成長高股息,TWSE,573026000,7887415,1.37
2025-10-07,00935,野村臺灣新科技50,TWSE,390004000,16831056,4.31
2025-10-07,00936,台新永續高息中小,TWSE,681797000,6786385,0.99
2025-10-07,00938,凱基優選30,TWSE,101516000,1679950,1.65
2025-10-07,00939,統一台灣高息動能,TWSE,2303976000,6742026,0.29
2025-10-07,00940,元大台灣價值高息,TWSE,11957865000,141887010,1.18
2025-10-07,00941,中信上游半導體,TWSE,731291000,8198323,1.12
2025-10-07,00943,兆豐電子高息等權,TWSE,61889000,1485830,2.4
2025-10-07,00944,野村趨勢動能高息,TWSE,125081000,1245100,0.99
2025-10-07,00945B,凱基美國非投等債,TWSE,1006818000,26844074,2.66
2025-10-07,00946,群益科技高息成長,TWSE,748746000,3716124,0.49
2025-10-07,00947,台新臺灣IC設計,TWSE,138364000,5086154,3.67
2025-10-07,00949,復華日本龍頭,TWSE,223428000,2820413,1.26
2025-10-07,00951,台新日本半導體,TWSE,218042000,3448559,1.58
2025-10-07,00952,凱基台灣AI50,TWSE,250775000,6292335,2.5
2025-10-07,00953B,群益優選非投等債,TWSE,4016175000,34791460,0.86
2025-10-07,00954,中信日本半導體,TWSE,57747000,882200,1.52
2025-10-07,00956,中信日經高股息,TWSE,31130000,945000,3.03
2025-10-07,00960,野村全球航運龍頭,TWSE,153995000,1784014,1.15
2025-10-07,00961,FT臺灣永續高息,TWSE,364511000,9942660,2.72
2025-10-07,00962,台新AI優息動能,TWSE,65420000,1653000,2.52
