date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
6/11,2330,元大證券,9800,6733,2973,3760,9.42,1,buy
6/11,2330,摩根大通,8440,1497,5631,-4134,10.36,1,sell
6/11,2330,花旗環球,1590,1636,336,1300,3.26,2,buy
6/11,2330,美林,1440,628,2363,-1735,4.35,2,sell
6/11,2330,永豐金證券,0039004100300030,1543,524,1019,2.55,3,buy
6/11,2330,台灣摩根士丹利,1470,552,2030,-1478,3.7,3,sell
6/11,2330,新加坡商瑞銀,1650,4751,3781,970,2.43,4,buy
6/11,2330,法銀巴黎,8900,193,1206,-1013,2.54,4,sell
6/11,2330,香港上海匯豐,8960,761,2,759,1.9,5,buy
6/11,2330,大和國泰,8890,67,1046,-979,2.45,5,sell
6/11,2330,富邦證券,9600,702,200,502,1.26,6,buy
6/11,2330,美商高盛,1480,649,1621,-972,2.44,6,sell
6/11,2330,港商野村,1560,757,357,400,1.0,7,buy
6/11,2330,群益金鼎-敦南,9101,12,864,-852,2.13,7,sell
6/11,2330,國泰-敦南,8888,640,297,343,0.86,8,buy
6/11,2330,台新-台北,0039004200320030,47,809,-762,1.91,8,sell
6/11,2330,元大-中和,0039003800390065,263,7,256,0.64,9,buy
6/11,2330,凱基-台北,9268,1648,2237,-589,1.48,9,sell
6/11,2330,兆豐證券,7000,199,34,165,0.41,10,buy
6/11,2330,永豐金-匯立,0039004100380031,233,688,-455,1.14,10,sell
6/11,2330,凱基-中山,9229,177,16,161,0.4,11,buy
6/11,2330,凱基-三多,9275,9,399,-390,0.98,11,sell
6/11,2330,中國信託,6160,512,363,149,0.37,12,buy
6/11,2330,統一,5850,256,610,-354,0.89,12,sell
6/11,2330,第一金,5380,234,107,127,0.32,13,buy
6/11,2330,群益金鼎,9100,251,537,-286,0.72,13,sell
6/11,2330,永豐金-萬盛,0039004100390032,118,12,106,0.27,14,buy
6/11,2330,永豐金-內湖,0039004100390067,76,342,-266,0.67,14,sell
6/11,2330,凱基,9200,352,249,103,0.26,15,buy
6/11,2330,宏遠證券,1260,146,345,-199,0.5,15,sell
6/11,2317,摩根大通,8440,7157,4849,2308,2.53,1,buy
6/11,2317,美林,1440,1391,9547,-8156,8.92,1,sell
6/11,2317,凱基-台北,9268,3395,1579,1816,1.99,2,buy
6/11,2317,國票-敦北法人,0037003700390063,23,4113,-4090,4.47,2,sell
6/11,2317,美商高盛,1480,4788,3112,1676,1.83,3,buy
6/11,2317,台灣摩根士丹利,1470,1369,5342,-3973,4.35,3,sell
6/11,2317,香港上海匯豐,8960,1591,223,1368,1.5,4,buy
6/11,2317,新加坡商瑞銀,1650,2781,6413,-3632,3.97,4,sell
6/11,2317,元大證券,9800,8905,7598,1307,1.43,5,buy
6/11,2317,統一,5850,450,2981,-2531,2.77,5,sell
6/11,2317,港商野村,1560,936,49,887,0.97,6,buy
6/11,2317,康和,8450,7,2000,-1993,2.18,6,sell
6/11,2317,永豐金證券,0039004100300030,1269,587,682,0.75,7,buy
6/11,2317,花旗環球,1590,864,2259,-1395,1.53,7,sell
6/11,2317,國泰-敦南,8888,1340,981,359,0.39,8,buy
6/11,2317,台新-台北,0039004200320030,184,1561,-1377,1.51,8,sell
6/11,2317,元大-土城永寧,9875,423,65,358,0.39,9,buy
6/11,2317,永豐金-匯立,0039004100380031,360,1300,-940,1.03,9,sell
6/11,2317,富邦-頭份,0039003600320050,408,68,340,0.37,10,buy
6/11,2317,港商麥格理,1360,1035,1873,-838,0.92,10,sell
6/11,2317,華南永昌,9300,481,205,276,0.3,11,buy
6/11,2317,兆豐證券,7000,71,620,-549,0.6,11,sell
6/11,2317,國泰-台中,8882,569,298,271,0.3,12,buy
6/11,2317,凱基-桃園,9208,146,549,-403,0.44,12,sell
6/11,2317,富邦證券,9600,741,476,265,0.29,13,buy
6/11,2317,宏遠證券,1260,53,283,-230,0.25,13,sell
6/11,2317,中國信託-高雄,003600310036004b,291,46,245,0.27,14,buy
6/11,2317,合庫證券,1020,59,227,-168,0.18,14,sell
6/11,2317,富邦-永和,9654,434,202,232,0.25,15,buy
6/11,2317,富邦-南員林,0039003600310052,62,226,-164,0.18,15,sell
6/11,2454,元大證券,9800,2020,1320,700,4.15,1,buy
6/11,2454,摩根大通,8440,1425,3074,-1649,9.78,1,sell
6/11,2454,台灣摩根士丹利,1470,1027,594,433,2.57,2,buy
6/11,2454,群益金鼎-大安,0039003100380065,132,876,-744,4.41,2,sell
6/11,2454,花旗環球,1590,456,44,412,2.44,3,buy
6/11,2454,富邦證券,9600,134,808,-674,4.0,3,sell
6/11,2454,凱基-台北,9268,979,687,292,1.73,4,buy
6/11,2454,永豐金-匯立,0039004100380031,47,686,-639,3.79,4,sell
6/11,2454,美商高盛,1480,936,748,188,1.11,5,buy
6/11,2454,美林,1440,188,531,-343,2.03,5,sell
6/11,2454,新加坡商瑞銀,1650,771,621,150,0.89,6,buy
6/11,2454,港商野村,1560,103,370,-267,1.58,6,sell
6/11,2454,國泰證券,8880,419,311,108,0.64,7,buy
6/11,2454,凱基-中山,9229,79,216,-137,0.81,7,sell
6/11,2454,國泰-敦南,8888,234,150,84,0.5,8,buy
6/11,2454,港商麥格理,1360,17,124,-107,0.63,8,sell
6/11,2454,富邦-台北,9623,115,46,69,0.41,9,buy
6/11,2454,日進,5660,2,71,-69,0.41,9,sell
6/11,2454,凱基-信義,9216,83,14,69,0.41,10,buy
6/11,2454,統一-城中,5854,6,65,-59,0.35,10,sell
6/11,2454,永豐金證券,0039004100300030,216,159,57,0.34,11,buy
6/11,2454,國票-敦北法人,0037003700390063,4,61,-57,0.34,11,sell
6/11,2454,華南永昌,9300,131,75,56,0.33,12,buy
6/11,2454,富邦-南員林,0039003600310052,11,61,-50,0.3,12,sell
6/11,2454,台新,0039004200300030,147,94,53,0.31,13,buy
6/11,2454,永豐金-復興,003900410039005a,48,93,-45,0.27,13,sell
6/11,2454,法銀巴黎,8900,51,1,50,0.3,14,buy
6/11,2454,元大-復北,9872,20,59,-39,0.23,14,sell
6/11,2454,元大-土城永寧,9875,55,8,47,0.28,15,buy
6/11,2454,康和,8450,2,39,-37,0.22,15,sell
6/11,2308,花旗環球,1590,784,107,677,4.44,1,buy
