date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
4/15,2330,元大證券,9800,5612,1686,3926,9.01,1,buy
4/15,2330,台灣摩根士丹利,1470,1340,3832,-2492,5.72,1,sell
4/15,2330,摩根大通,8440,4826,3368,1458,3.35,2,buy
4/15,2330,永豐金證券,0039004100300030,668,1624,-956,2.19,2,sell
4/15,2330,新加坡商瑞銀,1650,2822,1398,1424,3.27,3,buy
4/15,2330,凱基-台北,9268,1332,2142,-810,1.86,3,sell
4/15,2330,港商麥格理,1360,1897,661,1236,2.84,4,buy
4/15,2330,臺銀,1040,45,778,-733,1.68,4,sell
4/15,2330,美商高盛,1480,3663,2589,1074,2.46,5,buy
4/15,2330,花旗環球,1590,629,1233,-604,1.39,5,sell
4/15,2330,香港上海匯豐,8960,1042,356,686,1.57,6,buy
4/15,2330,永豐金-敦南,0039004100380046,40,360,-320,0.73,6,sell
4/15,2330,港商野村,1560,909,255,654,1.5,7,buy
4/15,2330,台新,0039004200300030,227,358,-131,0.3,7,sell
4/15,2330,法銀巴黎,8900,533,129,404,0.93,8,buy
4/15,2330,美林,1440,2649,2769,-120,0.28,8,sell
4/15,2330,凱基-三多,9275,242,7,235,0.54,9,buy
4/15,2330,群益金鼎,9100,140,257,-117,0.27,9,sell
4/15,2330,凱基,9200,384,163,221,0.51,10,buy
4/15,2330,凱基-桃園,9208,16,117,-101,0.23,10,sell
4/15,2330,華南永昌,9300,337,121,216,0.5,11,buy
4/15,2330,新光,8560,180,275,-95,0.22,11,sell
4/15,2330,國泰證券,8880,243,78,165,0.38,12,buy
4/15,2330,凱基-松山,9217,25,119,-94,0.22,12,sell
4/15,2330,大和國泰,8890,278,123,155,0.36,13,buy
4/15,2330,永豐金-敦北,0039004100380039,5,87,-82,0.19,13,sell
4/15,2330,彰銀,1230,178,28,150,0.34,14,buy
4/15,2330,國泰-敦南,8888,346,411,-65,0.15,14,sell
4/15,2330,群益金鼎-大安,0039003100380065,227,122,105,0.24,15,buy
4/15,2330,元大-天母,0039003800310049,22,85,-63,0.14,15,sell
4/15,2317,花旗環球,1590,11661,3295,8366,11.84,1,buy
4/15,2317,台灣摩根士丹利,1470,3705,6826,-3121,4.42,1,sell
4/15,2317,富邦證券,9600,4731,1371,3360,4.76,2,buy
4/15,2317,摩根大通,8440,1207,3388,-2181,3.09,2,sell
4/15,2317,港商麥格理,1360,1094,100,994,1.41,3,buy
4/15,2317,元大證券,9800,4847,7001,-2154,3.05,3,sell
4/15,2317,新加坡商瑞銀,1650,5037,4266,771,1.09,4,buy
4/15,2317,凱基-台北,9268,3458,4528,-1070,1.51,4,sell
4/15,2317,永豐金證券,0039004100300030,864,239,625,0.88,5,buy
4/15,2317,香港上海匯豐,8960,103,664,-561,0.79,5,sell
4/15,2317,港商野村,1560,565,189,376,0.53,6,buy
4/15,2317,臺銀,1040,145,686,-541,0.77,6,sell
4/15,2317,法銀巴黎,8900,345,97,248,0.35,7,buy
4/15,2317,第一金-中山,5389,8,252,-244,0.35,7,sell
4/15,2317,彰銀,1230,172,14,158,0.22,8,buy
4/15,2317,國泰證券,8880,72,295,-223,0.32,8,sell
4/15,2317,大昌-新店,6464,149,41,108,0.15,9,buy
4/15,2317,中國信託,6160,207,406,-199,0.28,9,sell
4/15,2317,富邦-竹科,0039003600320043,138,33,105,0.15,10,buy
4/15,2317,富邦-台南,9667,38,237,-199,0.28,10,sell
4/15,2317,福邦證券,6480,106,5,101,0.14,11,buy
4/15,2317,元大-大統,003900380031007a,19,206,-187,0.26,11,sell
4/15,2317,元大-金門,003900380031004e,114,14,100,0.14,12,buy
4/15,2317,群益金鼎-民權,9131,12,187,-175,0.25,12,sell
4/15,2317,永豐金-匯立,0039004100380031,1437,1337,100,0.14,13,buy
4/15,2317,兆豐-南門,0037003000300067,61,209,-148,0.21,13,sell
4/15,2317,富邦-新店,9661,177,79,98,0.14,14,buy
4/15,2317,元大-左營,0039003800390044,42,173,-131,0.19,14,sell
4/15,2317,台新,0039004200300030,822,727,95,0.13,15,buy
