date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
4/16,2330,元大證券,9800,3605,2299,1306,3.78,1,buy
4/16,2330,花旗環球,1590,572,1796,-1224,3.54,1,sell
4/16,2330,香港上海匯豐,8960,1338,501,837,2.42,2,buy
4/16,2330,大和國泰,8890,58,1114,-1056,3.05,2,sell
4/16,2330,凱基-台北,9268,1582,962,620,1.79,3,buy
4/16,2330,美林,1440,1081,1888,-807,2.33,3,sell
4/16,2330,土銀,1030,476,7,469,1.36,4,buy
4/16,2330,港商野村,1560,23,812,-789,2.28,4,sell
4/16,2330,摩根大通,8440,3288,2937,351,1.01,5,buy
4/16,2330,法銀巴黎,8900,125,885,-760,2.2,5,sell
4/16,2330,新加坡商瑞銀,1650,2538,2222,316,0.91,6,buy
4/16,2330,永豐金-匯立,0039004100380031,538,1078,-540,1.56,6,sell
4/16,2330,統一,5850,483,193,290,0.84,7,buy
4/16,2330,富邦證券,9600,589,1040,-451,1.3,7,sell
4/16,2330,凱基,9200,357,87,270,0.78,8,buy
4/16,2330,港商麥格理,1360,230,554,-324,0.94,8,sell
4/16,2330,中國信託,6160,296,90,206,0.6,9,buy
4/16,2330,台灣摩根士丹利,1470,1671,1922,-251,0.73,9,sell
4/16,2330,國泰-敦南,8888,410,287,123,0.36,10,buy
4/16,2330,兆豐證券,7000,89,320,-231,0.67,10,sell
4/16,2330,群益金鼎,9100,325,216,109,0.32,11,buy
4/16,2330,第一金-彰化,5386,4,157,-153,0.44,11,sell
4/16,2330,新光,8560,278,171,107,0.31,12,buy
4/16,2330,國泰證券,8880,270,418,-148,0.43,12,sell
4/16,2330,凱基-大里,0039003200300057,134,33,101,0.29,13,buy
4/16,2330,國票-敦北法人,0037003700390063,26,142,-116,0.34,13,sell
4/16,2330,台新,0039004200300030,202,109,93,0.27,14,buy
4/16,2330,美商高盛,1480,1883,1981,-98,0.28,14,sell
4/16,2330,永豐金-台南,0039004100390068,126,46,80,0.23,15,buy
4/16,2330,台中銀,6110,5,101,-96,0.28,15,sell
4/16,2317,富邦證券,9600,3473,355,3118,6.89,1,buy
4/16,2317,摩根大通,8440,1966,9984,-8018,17.71,1,sell
4/16,2317,美商高盛,1480,3761,1551,2210,4.88,2,buy
4/16,2317,台灣摩根士丹利,1470,2016,4121,-2105,4.65,2,sell
4/16,2317,美林,1440,2522,633,1889,4.17,3,buy
4/16,2317,凱基-台北,9268,1431,2445,-1014,2.24,3,sell
4/16,2317,元大證券,9800,3440,2107,1333,2.95,4,buy
4/16,2317,永豐金-匯立,0039004100380031,71,1001,-930,2.05,4,sell
4/16,2317,凱基,9200,1507,197,1310,2.89,5,buy
4/16,2317,花旗環球,1590,281,1136,-855,1.89,5,sell
4/16,2317,港商麥格理,1360,3417,2362,1055,2.33,6,buy
4/16,2317,港商野村,1560,23,301,-278,0.61,6,sell
4/16,2317,香港上海匯豐,8960,318,0,318,0.7,7,buy
4/16,2317,大和國泰,8890,0,191,-191,0.42,7,sell
4/16,2317,第一金-中山,5389,314,6,308,0.68,8,buy
4/16,2317,統一,5850,85,265,-180,0.4,8,sell
4/16,2317,永豐金證券,0039004100300030,625,323,302,0.67,9,buy
4/16,2317,第一金-台中,5382,8,141,-133,0.29,9,sell
4/16,2317,中國信託,6160,190,41,149,0.33,10,buy
4/16,2317,國票-敦北法人,0037003700390063,7,133,-126,0.28,10,sell
4/16,2317,統一-新竹,5857,318,171,147,0.32,11,buy
4/16,2317,群益金鼎-忠孝,0039003100380057,11,103,-92,0.2,11,sell
4/16,2317,台灣企銀,1110,144,9,135,0.3,12,buy
4/16,2317,富邦-青埔,003900360031004e,15,100,-85,0.19,12,sell
4/16,2317,華南永昌-苗栗,9362,132,12,120,0.27,13,buy
4/16,2317,台新-新店,0039004200320032,45,119,-74,0.16,13,sell
4/16,2317,凱基-三峽,0039003200310045,123,8,115,0.25,14,buy
4/16,2317,國泰證券,8880,175,244,-69,0.15,14,sell
4/16,2317,凱基-台中,9204,119,5,114,0.25,15,buy
4/16,2317,第一金-自由,0035003300380045,9,77,-68,0.15,15,sell
4/16,2454,富邦證券,9600,1328,233,1095,6.13,1,buy
4/16,2454,凱基-台北,9268,979,1857,-878,4.91,1,sell
4/16,2454,元大證券,9800,1539,961,578,3.23,2,buy
4/16,2454,中國信託,6160,64,224,-160,0.9,2,sell
4/16,2454,摩根大通,8440,1440,898,542,3.03,3,buy
4/16,2454,合庫證券,1020,15,166,-151,0.84,3,sell
4/16,2454,國泰證券,8880,803,343,460,2.57,4,buy
4/16,2454,永豐金證券,0039004100300030,257,365,-108,0.6,4,sell
4/16,2454,新加坡商瑞銀,1650,1144,732,412,2.31,5,buy
4/16,2454,香港上海匯豐,8960,271,376,-105,0.59,5,sell
4/16,2454,台灣摩根士丹利,1470,717,323,394,2.2,6,buy
4/16,2454,國泰-敦南,8888,133,237,-104,0.58,6,sell
4/16,2454,群益金鼎,9100,383,28,355,1.99,7,buy
4/16,2454,富邦-南屯,9666,3,102,-99,0.55,7,sell
4/16,2454,大和國泰,8890,338,5,333,1.86,8,buy
4/16,2454,臺銀,1040,21,117,-96,0.54,8,sell
4/16,2454,國票-安和,003700370039005a,247,17,230,1.29,9,buy
4/16,2454,花旗環球,1590,144,222,-78,0.44,9,sell
4/16,2454,群益金鼎-大安,0039003100380065,231,7,224,1.25,10,buy
4/16,2454,玉山證券,8840,12,86,-74,0.41,10,sell
4/16,2454,統一,5850,283,76,207,1.16,11,buy
4/16,2454,富邦-仁愛,9676,17,84,-67,0.37,11,sell
4/16,2454,富邦-台北,9623,246,51,195,1.09,12,buy
4/16,2454,國泰-板橋,003800380038004b,29,84,-55,0.31,12,sell
4/16,2454,美林,1440,366,217,149,0.83,13,buy
4/16,2454,元大-羅東,0039003800320041,5,58,-53,0.3,13,sell
4/16,2454,新光,8560,376,233,143,0.8,14,buy
4/16,2454,元大-竹科,003900380030004b,9,61,-52,0.29,14,sell
4/16,2454,凱基,9200,886,746,140,0.78,15,buy
4/16,2454,新光-台中,8561,17,70,-53,0.3,15,sell
4/16,2308,港商麥格理,1360,1213,18,1195,12.39,1,buy
4/16,2308,台灣摩根士丹利,1470,244,738,-494,5.12,1,sell
4/16,2308,新加坡商瑞銀,1650,997,553,444,4.6,2,buy
4/16,2308,群益金鼎,9100,11,389,-378,3.92,2,sell
4/16,2308,美林,1440,836,444,392,4.06,3,buy
4/16,2308,美商高盛,1480,443,785,-342,3.55,3,sell
4/16,2308,元大證券,9800,680,433,247,2.56,4,buy
4/16,2308,富邦證券,9600,58,288,-230,2.38,4,sell
4/16,2308,永豐金-匯立,0039004100380031,287,66,221,2.29,5,buy
4/16,2308,摩根大通,8440,559,760,-201,2.08,5,sell
4/16,2308,凱基-台北,9268,516,334,182,1.89,6,buy
4/16,2308,國泰證券,8880,53,180,-127,1.32,6,sell
4/16,2308,大和國泰,8890,224,60,164,1.7,7,buy
4/16,2308,宏遠證券,1260,18,134,-116,1.2,7,sell
4/16,2308,華南永昌-虎尾,9377,151,0,151,1.57,8,buy
4/16,2308,元大-板橋,0039003800390043,5,119,-114,1.18,8,sell
4/16,2308,元大-台北,0039003800300068,155,56,99,1.03,9,buy
4/16,2308,花旗環球,1590,137,249,-112,1.16,9,sell
4/16,2308,凱基-雙和,0039003200300043,54,0,54,0.56,10,buy
4/16,2308,港商野村,1560,53,136,-83,0.86,10,sell
4/16,2308,法銀巴黎,8900,55,1,54,0.56,11,buy
4/16,2308,康和,8450,1,54,-53,0.55,11,sell
4/16,2308,統一,5850,132,101,31,0.32,12,buy
4/16,2308,華南永昌,9300,4,48,-44,0.46,12,sell
4/16,2308,台新,0039004200300030,57,29,28,0.29,13,buy
4/16,2308,香港上海匯豐,8960,60,96,-36,0.37,13,sell
4/16,2308,聯邦-台南,8588,20,0,20,0.21,14,buy
4/16,2308,永豐金證券,0039004100300030,84,119,-35,0.36,14,sell
4/16,2308,元大-府城,0039003800300075,19,2,17,0.18,15,buy
4/16,2308,凱基-民權,0039003200310043,1,32,-31,0.32,15,sell
