date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
6/17,2330,元大證券,9800,3472,1363,2109,7.51,1,buy
6/17,2330,摩根大通,8440,1844,5440,-3596,12.8,1,sell
6/17,2330,花旗環球,1590,1565,568,997,3.55,2,buy
6/17,2330,台灣摩根士丹利,1470,102,3166,-3064,10.91,2,sell
6/17,2330,凱基-台北,9268,1972,1449,523,1.86,3,buy
6/17,2330,港商麥格理,1360,114,2561,-2447,8.71,3,sell
6/17,2330,永豐金證券,0039004100300030,755,374,381,1.36,4,buy
6/17,2330,凱基-城中,9227,5,937,-932,3.32,4,sell
6/17,2330,國泰-敦南,8888,394,136,258,0.92,5,buy
6/17,2330,美林,1440,446,1267,-821,2.92,5,sell
6/17,2330,富邦證券,9600,583,328,255,0.91,6,buy
6/17,2330,法銀巴黎,8900,288,880,-592,2.11,6,sell
6/17,2330,國泰證券,8880,546,306,240,0.85,7,buy
6/17,2330,新加坡商瑞銀,1650,2115,2410,-295,1.05,7,sell
6/17,2330,台新,0039004200300030,301,69,232,0.83,8,buy
6/17,2330,群益金鼎,9100,81,230,-149,0.53,8,sell
6/17,2330,香港上海匯豐,8960,187,8,179,0.64,9,buy
6/17,2330,統一-士林,003500380035004d,5,62,-57,0.2,9,sell
6/17,2330,凱基-中山,9229,154,11,143,0.51,10,buy
6/17,2330,元大-豐原站前,0039003800390057,45,100,-55,0.2,10,sell
6/17,2330,中國信託,6160,197,62,135,0.48,11,buy
6/17,2330,福邦證券,6480,104,142,-38,0.14,11,sell
6/17,2330,台新-台北,0039004200320030,128,12,116,0.41,12,buy
6/17,2330,台新-五權西,0039004200320035,12,44,-32,0.11,12,sell
6/17,2330,臺銀,1040,129,26,103,0.37,13,buy
6/17,2330,元大-忠孝,9871,18,41,-23,0.08,13,sell
6/17,2330,港商野村,1560,158,61,97,0.35,14,buy
6/17,2330,美商高盛,1480,1413,1434,-21,0.07,14,sell
6/17,2330,台新-台中,0039004200310068,98,14,84,0.3,15,buy
6/17,2330,凱基-高雄,9206,16,28,-12,0.04,15,sell
6/17,2317,永豐金證券,0039004100300030,3522,465,3057,7.25,1,buy
6/17,2317,摩根大通,8440,621,3689,-3068,7.27,1,sell
6/17,2317,富邦證券,9600,2006,552,1454,3.45,2,buy
6/17,2317,台灣摩根士丹利,1470,652,3717,-3065,7.27,2,sell
6/17,2317,美林,1440,2495,1331,1164,2.76,3,buy
6/17,2317,元大證券,9800,2208,4552,-2344,5.56,3,sell
6/17,2317,中國信託,6160,1211,131,1080,2.56,4,buy
6/17,2317,美商高盛,1480,1419,3057,-1638,3.88,4,sell
6/17,2317,港商野村,1560,500,26,474,1.12,5,buy
6/17,2317,新加坡商瑞銀,1650,1895,3225,-1330,3.15,5,sell
6/17,2317,元大-府城,0039003800300075,248,5,243,0.58,6,buy
6/17,2317,凱基,9200,111,922,-811,1.92,6,sell
6/17,2317,合庫-台南,1022,223,14,209,0.5,7,buy
6/17,2317,凱基-台北,9268,1829,2337,-508,1.2,7,sell
6/17,2317,法銀巴黎,8900,173,6,167,0.4,8,buy
6/17,2317,國票-南京,003700370039006e,19,502,-483,1.15,8,sell
6/17,2317,港商麥格理,1360,142,1,141,0.33,9,buy
6/17,2317,群益金鼎,9100,72,528,-456,1.08,9,sell
6/17,2317,富邦-新店,9661,171,46,125,0.3,10,buy
6/17,2317,永豐金-匯立,0039004100380031,62,508,-446,1.06,10,sell
6/17,2317,凱基-站前,0039003200300046,161,38,123,0.29,11,buy
6/17,2317,花旗環球,1590,712,1134,-422,1.0,11,sell
6/17,2317,統一-台中,5856,129,6,123,0.29,12,buy
6/17,2317,統一-宜蘭,0035003800350053,11,305,-294,0.7,12,sell
6/17,2317,元大-屏東民生,0039003800310068,119,1,118,0.28,13,buy
6/17,2317,華南永昌,9300,38,219,-181,0.43,13,sell
6/17,2317,統一,5850,414,303,111,0.26,14,buy
6/17,2317,香港上海匯豐,8960,31,152,-121,0.29,14,sell
6/17,2317,富邦-永和,9654,145,37,108,0.26,15,buy
6/17,2317,台新,0039004200300030,461,567,-106,0.25,15,sell
6/17,2454,花旗環球,1590,756,143,613,6.66,1,buy
6/17,2454,摩根大通,8440,319,1764,-1445,15.71,1,sell
6/17,2454,大和國泰,8890,572,48,524,5.7,2,buy
6/17,2454,台灣摩根士丹利,1470,128,723,-595,6.47,2,sell
6/17,2454,兆豐證券,7000,167,35,132,1.44,3,buy
6/17,2454,新加坡商瑞銀,1650,229,559,-330,3.59,3,sell
6/17,2454,凱基,9200,275,148,127,1.38,4,buy
6/17,2454,國票-安和,003700370039005a,7,173,-166,1.8,4,sell
6/17,2454,港商野村,1560,123,33,90,0.98,5,buy
6/17,2454,中國信託,6160,35,193,-158,1.72,5,sell
6/17,2454,美林,1440,264,180,84,0.91,6,buy
6/17,2454,美商高盛,1480,525,669,-144,1.57,6,sell
6/17,2454,元大證券,9800,670,588,82,0.89,7,buy
6/17,2454,統一,5850,113,234,-121,1.32,7,sell
6/17,2454,國泰-敦南,8888,149,93,56,0.61,8,buy
6/17,2454,凱基-台北,9268,265,385,-120,1.3,8,sell
6/17,2454,土銀,1030,42,0,42,0.46,9,buy
6/17,2454,美好,5260,1,120,-119,1.29,9,sell
6/17,2454,富邦-仁愛,9676,45,5,40,0.43,10,buy
6/17,2454,國泰證券,8880,59,160,-101,1.1,10,sell
6/17,2454,富邦證券,9600,200,164,36,0.39,11,buy
6/17,2454,凱基-中山,9229,54,120,-66,0.72,11,sell
6/17,2454,統一-城中,5854,38,3,35,0.38,12,buy
6/17,2454,永豐金證券,0039004100300030,121,171,-50,0.54,12,sell
6/17,2454,凱基-信義,9216,36,1,35,0.38,13,buy
6/17,2454,宏遠證券,1260,1,40,-39,0.42,13,sell
