date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
6/18,2330,元大證券,9800,5161,1074,4087,8.43,1,buy
6/18,2330,國泰證券,8880,127,5065,-4938,10.19,1,sell
6/18,2330,凱基-台北,9268,5385,1464,3921,8.09,2,buy
6/18,2330,港商野村,1560,354,3197,-2843,5.86,2,sell
6/18,2330,新加坡商瑞銀,1650,4164,2094,2070,4.27,3,buy
6/18,2330,法銀巴黎,8900,103,2295,-2192,4.52,3,sell
6/18,2330,永豐金-匯立,0039004100380031,1397,71,1326,2.74,4,buy
6/18,2330,群益金鼎,9100,71,729,-658,1.36,4,sell
6/18,2330,美商高盛,1480,5731,4496,1235,2.55,5,buy
6/18,2330,富邦證券,9600,184,691,-507,1.05,5,sell
6/18,2330,美林,1440,2167,1294,873,1.8,6,buy
6/18,2330,兆豐證券,7000,19,475,-456,0.94,6,sell
6/18,2330,富邦-南京,0039003600310043,549,32,517,1.07,7,buy
6/18,2330,台灣摩根士丹利,1470,6393,6847,-454,0.94,7,sell
6/18,2330,凱基,9200,710,316,394,0.81,8,buy
6/18,2330,港商麥格理,1360,720,1156,-436,0.9,8,sell
6/18,2330,摩根大通,8440,4724,4398,326,0.67,9,buy
6/18,2330,花旗環球,1590,473,888,-415,0.86,9,sell
6/18,2330,中國信託,6160,469,357,112,0.23,10,buy
6/18,2330,華南永昌,9300,105,481,-376,0.78,10,sell
6/18,2330,永豐金證券,0039004100300030,595,508,87,0.18,11,buy
6/18,2330,兆豐-忠孝,0037003000300061,14,207,-193,0.4,11,sell
6/18,2330,凱基-中山,9229,99,14,85,0.18,12,buy
6/18,2330,福邦證券,6480,0,186,-186,0.38,12,sell
6/18,2330,永豐金-內湖,0039004100390067,84,16,68,0.14,13,buy
6/18,2330,玉山-台南,8847,16,122,-106,0.22,13,sell
6/18,2330,元大-豐原站前,0039003800390057,135,69,66,0.14,14,buy
6/18,2330,統一,5850,104,202,-98,0.2,14,sell
6/18,2330,元大-雙和,9874,114,48,66,0.14,15,buy
6/18,2330,元大-草屯,0039003800390045,9,89,-80,0.17,15,sell
6/18,2317,凱基,9200,4145,141,4004,5.82,1,buy
6/18,2317,台灣摩根士丹利,1470,2137,11651,-9514,13.84,1,sell
6/18,2317,富邦證券,9600,2074,527,1547,2.25,2,buy
6/18,2317,美商高盛,1480,1858,7972,-6114,8.89,2,sell
6/18,2317,永豐金證券,0039004100300030,2223,983,1240,1.8,3,buy
6/18,2317,新加坡商瑞銀,1650,3173,8820,-5647,8.21,3,sell
6/18,2317,凱基-台北,9268,4482,3834,648,0.94,4,buy
6/18,2317,元大證券,9800,3490,6102,-2612,3.8,4,sell
6/18,2317,國泰-敦南,8888,976,384,592,0.86,5,buy
6/18,2317,港商麥格理,1360,186,2349,-2163,3.15,5,sell
6/18,2317,中國信託,6160,627,87,540,0.79,6,buy
6/18,2317,摩根大通,8440,5800,7749,-1949,2.83,6,sell
6/18,2317,台新-台北,0039004200320030,524,12,512,0.74,7,buy
6/18,2317,美林,1440,1010,2749,-1739,2.53,7,sell
6/18,2317,花旗環球,1590,1202,735,467,0.68,8,buy
6/18,2317,統一,5850,219,525,-306,0.45,8,sell
6/18,2317,台新-城東,0039004200320072,414,18,396,0.58,9,buy
6/18,2317,國泰證券,8880,37,299,-262,0.38,9,sell
6/18,2317,新光,8560,557,168,389,0.57,10,buy
6/18,2317,臺銀,1040,69,318,-249,0.36,10,sell
6/18,2317,統一-新竹,5857,347,9,338,0.49,11,buy
6/18,2317,永豐金-匯立,0039004100380031,1138,1385,-247,0.36,11,sell
6/18,2317,港商野村,1560,305,22,283,0.41,12,buy
6/18,2317,兆豐證券,7000,45,227,-182,0.26,12,sell
6/18,2317,台新,0039004200300030,448,184,264,0.38,13,buy
6/18,2317,中國信託-高雄,003600310036004b,40,154,-114,0.17,13,sell
6/18,2317,華南永昌-豐原,9366,194,10,184,0.27,14,buy
6/18,2317,元大-路竹,0039003800310043,34,148,-114,0.17,14,sell
6/18,2317,國泰-館前,0038003800380041,240,65,175,0.25,15,buy
6/18,2317,盈溢,5860,2,45,-43,0.06,15,sell
6/18,2454,美林,1440,1669,882,787,6.08,1,buy
6/18,2454,兆豐證券,7000,5,1072,-1067,8.24,1,sell
6/18,2454,摩根大通,8440,1057,857,200,1.54,2,buy
6/18,2454,台新-台北,0039004200320030,4,1055,-1051,8.12,2,sell
6/18,2454,港商麥格理,1360,293,102,191,1.47,3,buy
6/18,2454,元大-松江,9801,6,266,-260,2.01,3,sell
6/18,2454,新加坡商瑞銀,1650,1754,1585,169,1.3,4,buy
6/18,2454,國泰證券,8880,14,180,-166,1.28,4,sell
6/18,2454,美商高盛,1480,1079,924,155,1.2,5,buy
6/18,2454,永豐金-匯立,0039004100380031,8,114,-106,0.82,5,sell
6/18,2454,台灣摩根士丹利,1470,1225,1109,116,0.9,6,buy
6/18,2454,花旗環球,1590,126,217,-91,0.7,6,sell
6/18,2454,凱基-台北,9268,415,337,78,0.6,7,buy
6/18,2454,康和,8450,5,90,-85,0.66,7,sell
6/18,2454,凱基,9200,85,17,68,0.53,8,buy
6/18,2454,港商野村,1560,30,113,-83,0.64,8,sell
6/18,2454,國泰-敦南,8888,170,103,67,0.52,9,buy
6/18,2454,元大-信義,003900380039006d,8,90,-82,0.63,9,sell
6/18,2454,永豐金證券,0039004100300030,102,51,51,0.39,10,buy
6/18,2454,凱基-永和,9207,1,77,-76,0.59,10,sell
6/18,2454,法銀巴黎,8900,38,1,37,0.29,11,buy
6/18,2454,統一,5850,26,82,-56,0.43,11,sell
6/18,2454,國泰-台中,8882,51,26,25,0.19,12,buy
6/18,2454,台新-城中,0039004200320045,1,43,-42,0.32,12,sell
6/18,2454,新光,8560,79,54,25,0.19,13,buy
6/18,2454,元大證券,9800,721,759,-38,0.29,13,sell
6/18,2454,富邦-內湖,9627,26,2,24,0.19,14,buy
6/18,2454,凱基-中山,9229,9,44,-35,0.27,14,sell
6/18,2454,元大-淡水,9899,26,4,22,0.17,15,buy
6/18,2454,群益金鼎-大安,0039003100380065,5,36,-31,0.24,15,sell
6/18,2308,新加坡商瑞銀,1650,1482,597,885,7.82,1,buy
6/18,2308,台灣摩根士丹利,1470,1180,2025,-845,7.46,1,sell
6/18,2308,凱基-台北,9268,810,421,389,3.44,2,buy
6/18,2308,元大證券,9800,528,1202,-674,5.95,2,sell
6/18,2308,港商野村,1560,412,43,369,3.26,3,buy
6/18,2308,富邦證券,9600,89,531,-442,3.9,3,sell
6/18,2308,花旗環球,1590,230,98,132,1.17,4,buy
6/18,2308,大和國泰,8890,4,368,-364,3.21,4,sell
6/18,2308,國泰-敦南,8888,146,49,97,0.86,5,buy
6/18,2308,摩根大通,8440,1501,1788,-287,2.53,5,sell
6/18,2308,港商麥格理,1360,335,239,96,0.85,6,buy
6/18,2308,永豐金-匯立,0039004100380031,42,220,-178,1.57,6,sell
6/18,2308,群益金鼎,9100,42,4,38,0.34,7,buy
6/18,2308,統一,5850,29,183,-154,1.36,7,sell
6/18,2308,富邦-陽明,9604,35,4,31,0.27,8,buy
6/18,2308,美林,1440,124,271,-147,1.3,8,sell
6/18,2308,永豐金-敦南,0039004100380046,74,43,31,0.27,9,buy
6/18,2308,美商高盛,1480,752,892,-140,1.24,9,sell
6/18,2308,新光,8560,54,27,27,0.24,10,buy
6/18,2308,華南永昌,9300,22,159,-137,1.21,10,sell
6/18,2308,中國信託,6160,31,3,28,0.25,11,buy
6/18,2308,永豐金證券,0039004100300030,45,152,-107,0.94,11,sell
6/18,2308,法銀巴黎,8900,32,7,25,0.22,12,buy
6/18,2308,宏遠證券,1260,2,62,-60,0.53,12,sell
6/18,2308,兆豐-天母,003700300030004c,22,0,22,0.19,13,buy
6/18,2308,國泰證券,8880,34,83,-49,0.43,13,sell
6/18,2308,玉山-高雄,8843,21,3,18,0.16,14,buy
6/18,2308,第一金,5380,3,52,-49,0.43,14,sell
6/18,2308,永豐金-竹科,0039004100390058,20,2,18,0.16,15,buy
6/18,2308,凱基,9200,74,116,-42,0.37,15,sell
