date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/09,2330,美林,1440,1541,839,702,4.22,1,buy
9/09,2330,元大證券,9800,1166,2484,-1318,7.92,1,sell
9/09,2330,台灣摩根士丹利,1470,1435,950,485,2.92,2,buy
9/09,2330,美商高盛,1480,951,1652,-701,4.21,2,sell
9/09,2330,統一,5850,572,108,464,2.79,3,buy
9/09,2330,港商麥格理,1360,553,1230,-677,4.07,3,sell
9/09,2330,花旗環球,1590,312,59,253,1.52,4,buy
9/09,2330,富邦證券,9600,156,608,-452,2.72,4,sell
9/09,2330,港商野村,1560,362,163,199,1.2,5,buy
9/09,2330,摩根大通,8440,1375,1810,-435,2.61,5,sell
9/09,2330,康和,8450,159,1,158,0.95,6,buy
9/09,2330,凱基-台北,9268,292,618,-326,1.96,6,sell
9/09,2330,兆豐證券,7000,116,7,109,0.66,7,buy
9/09,2330,大和國泰,8890,0,137,-137,0.82,7,sell
9/09,2330,元大-中和,0039003800390065,103,1,102,0.61,8,buy
9/09,2330,新加坡商瑞銀,1650,1323,1449,-126,0.76,8,sell
9/09,2330,統一-仁愛,0035003800350063,65,0,65,0.39,9,buy
9/09,2330,台新,0039004200300030,48,159,-111,0.67,9,sell
9/09,2330,元大-四維,9831,57,2,55,0.33,10,buy
9/09,2330,香港上海匯豐,8960,32,113,-81,0.49,10,sell
9/09,2330,富邦-台北,9623,66,17,49,0.29,11,buy
9/09,2330,凱基,9200,25,97,-72,0.43,11,sell
9/09,2330,永豐金-匯立,0039004100380031,455,406,49,0.29,12,buy
9/09,2330,法銀巴黎,8900,4,46,-42,0.25,12,sell
9/09,2330,凱基-三多,9275,46,0,46,0.28,13,buy
9/09,2330,宏遠-桃園,1262,1,35,-34,0.2,13,sell
9/09,2330,群益金鼎,9100,114,68,46,0.28,14,buy
9/09,2330,第一金-中壢,0035003300380059,15,42,-27,0.16,14,sell
9/09,2330,國泰證券,8880,110,66,44,0.26,15,buy
9/09,2330,富邦-新竹,9647,15,41,-26,0.16,15,sell
9/09,2317,美商高盛,1480,2113,334,1779,9.01,1,buy
9/09,2317,港商麥格理,1360,628,2144,-1516,7.68,1,sell
9/09,2317,元大證券,9800,2554,841,1713,8.67,2,buy
9/09,2317,台灣摩根士丹利,1470,1387,2609,-1222,6.19,2,sell
9/09,2317,花旗環球,1590,1479,326,1153,5.84,3,buy
9/09,2317,國泰證券,8880,5,397,-392,1.98,3,sell
9/09,2317,凱基-台北,9268,568,91,477,2.41,4,buy
9/09,2317,第一金,5380,0,294,-294,1.49,4,sell
9/09,2317,美林,1440,875,411,464,2.35,5,buy
9/09,2317,富邦證券,9600,19,222,-203,1.03,5,sell
9/09,2317,港商野村,1560,251,6,245,1.24,6,buy
9/09,2317,臺銀,1040,12,212,-200,1.01,6,sell
9/09,2317,華南永昌,9300,264,25,239,1.21,7,buy
9/09,2317,中國信託-中壢,0036003100360041,9,203,-194,0.98,7,sell
9/09,2317,台新,0039004200300030,325,230,95,0.48,8,buy
9/09,2317,元大-基隆,0039003800390059,7,151,-144,0.73,8,sell
9/09,2317,新加坡商瑞銀,1650,604,511,93,0.47,9,buy
9/09,2317,華南永昌-頭份,9343,11,120,-109,0.55,9,sell
9/09,2317,玉山證券,8840,99,14,85,0.43,10,buy
9/09,2317,元大-太平,0039003800310051,12,108,-96,0.49,10,sell
9/09,2317,中國信託,6160,130,52,78,0.39,11,buy
9/09,2317,國泰-敦南,8888,167,255,-88,0.45,11,sell
9/09,2317,摩根大通,8440,1367,1305,62,0.31,12,buy
9/09,2317,第一金-忠孝,0035003300380044,14,102,-88,0.45,12,sell
9/09,2317,中國信託-忠孝,6162,72,13,59,0.3,13,buy
9/09,2317,玉山-雙和,8841,2,87,-85,0.43,13,sell
9/09,2317,陽信-高雄,8713,53,0,53,0.27,14,buy
9/09,2317,新光,8560,129,206,-77,0.39,14,sell
9/09,2317,福邦證券,6480,50,1,49,0.25,15,buy
9/09,2317,康和-永和,0038003400350042,0,75,-75,0.38,15,sell
9/09,2454,富邦證券,9600,174,60,114,2.12,1,buy
9/09,2454,美林,1440,236,450,-214,3.98,1,sell
9/09,2454,永豐金證券,0039004100300030,142,50,92,1.71,2,buy
9/09,2454,香港上海匯豐,8960,1,157,-156,2.9,2,sell
9/09,2454,元大證券,9800,430,357,73,1.36,3,buy
9/09,2454,港商野村,1560,59,207,-148,2.75,3,sell
9/09,2454,凱基-站前,0039003200300046,57,9,48,0.89,4,buy
9/09,2454,台灣摩根士丹利,1470,310,437,-127,2.36,4,sell
9/09,2454,統一,5850,70,27,43,0.8,5,buy
9/09,2454,美商高盛,1480,306,413,-107,1.99,5,sell
9/09,2454,港商麥格理,1360,107,75,32,0.6,6,buy
9/09,2454,花旗環球,1590,58,164,-106,1.97,6,sell
9/09,2454,富邦-敦南,9663,26,2,24,0.45,7,buy
9/09,2454,凱基-台北,9268,264,343,-79,1.47,7,sell
9/09,2454,華南永昌-小港,9323,23,2,21,0.39,8,buy
9/09,2454,國泰證券,8880,4,56,-52,0.97,8,sell
9/09,2454,摩根大通,8440,278,259,19,0.35,9,buy
