date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/24,2330,元富,5920,1420,13,1407,10.26,1,buy
12/24,2330,台灣摩根士丹利,1470,166,1217,-1051,7.67,1,sell
12/24,2330,凱基-台北,9268,843,234,609,4.44,2,buy
12/24,2330,摩根大通,8440,105,801,-696,5.08,2,sell
12/24,2330,富邦證券,9600,624,23,601,4.38,3,buy
12/24,2330,永豐金-匯立,0039004100380031,5,405,-400,2.92,3,sell
12/24,2330,群益金鼎,9100,650,122,528,3.85,4,buy
12/24,2330,國泰證券,8880,265,477,-212,1.55,4,sell
12/24,2330,華南永昌,9300,299,16,283,2.06,5,buy
12/24,2330,元大證券,9800,262,436,-174,1.27,5,sell
12/24,2330,宏遠證券,1260,170,6,164,1.2,6,buy
12/24,2330,美商高盛,1480,721,812,-91,0.66,6,sell
12/24,2330,永豐金證券,0039004100300030,675,516,159,1.16,7,buy
12/24,2330,新加坡商瑞銀,1650,195,282,-87,0.63,7,sell
12/24,2330,國票-敦北法人,0037003700390063,151,1,150,1.09,8,buy
12/24,2330,元大-豐原,9838,2,86,-84,0.61,8,sell
12/24,2330,大和國泰,8890,250,100,150,1.09,9,buy
12/24,2330,港商麥格理,1360,76,151,-75,0.55,9,sell
12/24,2330,中國信託,6160,552,409,143,1.04,10,buy
12/24,2330,花旗環球,1590,126,199,-73,0.53,10,sell
12/24,2330,台新證券,8150,209,69,140,1.02,11,buy
12/24,2330,凱基,9200,122,191,-69,0.5,11,sell
12/24,2330,康和,8450,151,22,129,0.94,12,buy
12/24,2330,國泰-敦南,8888,109,173,-64,0.47,12,sell
12/24,2330,富邦-台北,9623,169,40,129,0.94,13,buy
12/24,2330,元大-天母,0039003800310049,6,70,-64,0.47,13,sell
12/24,2330,統一-內湖,0035003800350062,122,2,120,0.88,14,buy
12/24,2330,元富-西松,003500390032006e,117,176,-59,0.43,14,sell
12/24,2330,統一,5850,336,254,82,0.6,15,buy
12/24,2330,元富-中原,0035003900320067,1,50,-49,0.36,15,sell
12/24,2317,台灣摩根士丹利,1470,2323,597,1726,4.74,1,buy
12/24,2317,群益金鼎,9100,1207,6442,-5235,14.37,1,sell
12/24,2317,美林,1440,2105,478,1627,4.47,2,buy
12/24,2317,花旗環球,1590,43,3963,-3920,10.76,2,sell
12/24,2317,凱基,9200,1461,24,1437,3.95,3,buy
12/24,2317,新加坡商瑞銀,1650,4050,4943,-893,2.45,3,sell
12/24,2317,美商高盛,1480,2277,1399,878,2.41,4,buy
12/24,2317,元大證券,9800,1808,2160,-352,0.97,4,sell
12/24,2317,凱基-台北,9268,1035,414,621,1.7,5,buy
12/24,2317,永豐金-匯立,0039004100380031,128,462,-334,0.92,5,sell
12/24,2317,兆豐-南門,0037003000300067,579,15,564,1.55,6,buy
12/24,2317,摩根大通,8440,409,720,-311,0.85,6,sell
12/24,2317,群益金鼎-古亭,0039003100380043,554,17,537,1.47,7,buy
12/24,2317,陽信-台南,8714,0,200,-200,0.55,7,sell
