date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
6/08,2330,國泰證券,8880,4354,336,4018,7.69,1,buy
6/08,2330,摩根大通,8440,2082,6135,-4053,7.75,1,sell
6/08,2330,港商野村,1560,1924,170,1754,3.36,2,buy
6/08,2330,元大證券,9800,3231,7050,-3819,7.31,2,sell
6/08,2330,富邦證券,9600,1675,408,1267,2.42,3,buy
6/08,2330,美林,1440,710,3496,-2786,5.33,3,sell
6/08,2330,群益金鼎,9100,1075,436,639,1.22,4,buy
6/08,2330,台灣摩根士丹利,1470,85,2404,-2319,4.44,4,sell
6/08,2330,國泰-敦南,8888,843,349,494,0.95,5,buy
6/08,2330,凱基-台北,9268,823,2847,-2024,3.87,5,sell
6/08,2330,台新,0039004200300030,541,263,278,0.53,6,buy
6/08,2330,法銀巴黎,8900,358,1802,-1444,2.76,6,sell
6/08,2330,凱基,9200,1233,976,257,0.49,7,buy
6/08,2330,美商高盛,1480,620,2035,-1415,2.71,7,sell
6/08,2330,中國信託,6160,618,382,236,0.45,8,buy
6/08,2330,花旗環球,1590,864,1664,-800,1.53,8,sell
6/08,2330,玉山證券,8840,280,62,218,0.42,9,buy
6/08,2330,新加坡商瑞銀,1650,2626,3138,-512,0.98,9,sell
6/08,2330,兆豐證券,7000,233,35,198,0.38,10,buy
6/08,2330,港商麥格理,1360,364,853,-489,0.94,10,sell
6/08,2330,土銀,1030,196,9,187,0.36,11,buy
6/08,2330,凱基-城中,9227,54,477,-423,0.81,11,sell
6/08,2330,合庫證券,1020,149,11,138,0.26,12,buy
6/08,2330,台新-台北,0039004200320030,49,411,-362,0.69,12,sell
6/08,2330,華南永昌-中正,9359,135,6,129,0.25,13,buy
6/08,2330,國票證券,7790,28,299,-271,0.52,13,sell
6/08,2330,華南永昌,9300,242,117,125,0.24,14,buy
6/08,2330,香港上海匯豐,8960,285,528,-243,0.46,14,sell
6/08,2330,國泰-板橋,003800380038004b,216,106,110,0.21,15,buy
