date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
6/09,2330,富邦證券,9600,1440,132,1308,3.61,1,buy
6/09,2330,港商麥格理,1360,505,5467,-4962,13.68,1,sell
6/09,2330,群益金鼎,9100,795,84,711,1.96,2,buy
6/09,2330,凱基-台北,9268,771,4427,-3656,10.08,2,sell
6/09,2330,統一,5850,632,123,509,1.4,3,buy
6/09,2330,摩根大通,8440,2403,4045,-1642,4.53,3,sell
6/09,2330,國泰證券,8880,534,35,499,1.38,4,buy
6/09,2330,新加坡商瑞銀,1650,1921,3231,-1310,3.61,4,sell
6/09,2330,大和國泰,8890,473,19,454,1.25,5,buy
6/09,2330,法銀巴黎,8900,127,1208,-1081,2.98,5,sell
6/09,2330,凱基,9200,932,513,419,1.16,6,buy
6/09,2330,台灣摩根士丹利,1470,513,1530,-1017,2.8,6,sell
6/09,2330,國泰-敦南,8888,454,164,290,0.8,7,buy
6/09,2330,永豐金-匯立,0039004100380031,406,1371,-965,2.66,7,sell
6/09,2330,永豐金-內湖,0039004100390067,270,10,260,0.72,8,buy
6/09,2330,美林,1440,689,911,-222,0.61,8,sell
6/09,2330,港商野村,1560,459,214,245,0.68,9,buy
6/09,2330,花旗環球,1590,1483,1705,-222,0.61,9,sell
6/09,2330,合庫證券,1020,231,1,230,0.63,10,buy
6/09,2330,國票-敦北法人,0037003700390063,80,250,-170,0.47,10,sell
6/09,2330,國泰-板橋,003800380038004b,241,29,212,0.58,11,buy
6/09,2330,台新,0039004200300030,188,282,-94,0.26,11,sell
6/09,2330,香港上海匯豐,8960,276,71,205,0.57,12,buy
6/09,2330,永豐金-萬盛,0039004100390032,17,109,-92,0.25,12,sell
6/09,2330,群益金鼎-敦南,9101,183,2,181,0.5,13,buy
6/09,2330,凱基-松山,9217,18,103,-85,0.23,13,sell
6/09,2330,永豐金-竹科,0039004100390058,170,9,161,0.44,14,buy
6/09,2330,永豐金-市政,0039004100390057,53,137,-84,0.23,14,sell
6/09,2330,新光,8560,223,89,134,0.37,15,buy
6/09,2330,元大-新竹經國,9859,25,109,-84,0.23,15,sell
6/09,2317,美商高盛,1480,8681,3507,5174,7.03,1,buy
6/09,2317,新加坡商瑞銀,1650,983,7298,-6315,8.59,1,sell
6/09,2317,港商麥格理,1360,4833,376,4457,6.06,2,buy
6/09,2317,台灣摩根士丹利,1470,1520,7530,-6010,8.17,2,sell
6/09,2317,大和國泰,8890,3850,0,3850,5.23,3,buy
6/09,2317,摩根大通,8440,1353,6537,-5184,7.05,3,sell
6/09,2317,香港上海匯豐,8960,2849,1184,1665,2.26,4,buy
6/09,2317,凱基-台北,9268,2105,5972,-3867,5.26,4,sell
6/09,2317,花旗環球,1590,2492,1139,1353,1.84,5,buy
6/09,2317,美林,1440,453,3292,-2839,3.86,5,sell
6/09,2317,富邦證券,9600,846,229,617,0.84,6,buy
6/09,2317,元大證券,9800,3747,6458,-2711,3.69,6,sell
6/09,2317,中國信託-高雄,003600310036004b,669,64,605,0.82,7,buy
6/09,2317,港商野村,1560,133,1137,-1004,1.37,7,sell
6/09,2317,國泰-敦南,8888,1418,976,442,0.6,8,buy
6/09,2317,兆豐-中壢,0037003000300062,16,322,-306,0.42,8,sell
6/09,2317,國票-敦北法人,0037003700390063,331,17,314,0.43,9,buy
6/09,2317,永豐金-匯立,0039004100380031,140,421,-281,0.38,9,sell
6/09,2317,凱基,9200,378,79,299,0.41,10,buy
6/09,2317,凱基-東港,9212,50,318,-268,0.36,10,sell
6/09,2317,國泰證券,8880,226,14,212,0.29,11,buy
6/09,2317,元大-台北,0039003800300068,281,538,-257,0.35,11,sell
6/09,2317,台新-建北,0039004200310038,186,13,173,0.24,12,buy
6/09,2317,富邦-頭份,0039003600320050,65,292,-227,0.31,12,sell
6/09,2317,新光,8560,482,310,172,0.23,13,buy
6/09,2317,玉山證券,8840,114,299,-185,0.25,13,sell
6/09,2317,統一,5850,335,171,164,0.22,14,buy
6/09,2317,凱基-高美館,9215,47,221,-174,0.24,14,sell
6/09,2317,富邦-仁愛,9676,281,131,150,0.2,15,buy
6/09,2317,華南永昌-豐原,9366,65,231,-166,0.23,15,sell
6/09,2454,富邦證券,9600,1371,168,1203,7.82,1,buy
6/09,2454,新加坡商瑞銀,1650,469,1481,-1012,6.58,1,sell
6/09,2454,永豐金-匯立,0039004100380031,1214,62,1152,7.48,2,buy
6/09,2454,港商麥格理,1360,25,871,-846,5.5,2,sell
6/09,2454,國泰證券,8880,363,102,261,1.7,3,buy
6/09,2454,摩根大通,8440,603,942,-339,2.2,3,sell
6/09,2454,台灣摩根士丹利,1470,885,657,228,1.48,4,buy
6/09,2454,永豐金證券,0039004100300030,112,242,-130,0.84,4,sell
6/09,2454,富邦-仁愛,9676,239,51,188,1.22,5,buy
6/09,2454,元大-土城永寧,9875,4,105,-101,0.66,5,sell
6/09,2454,統一,5850,274,101,173,1.12,6,buy
6/09,2454,永豐金-內湖,0039004100390067,8,91,-83,0.54,6,sell
6/09,2454,凱基-三多,9275,131,1,130,0.84,7,buy
6/09,2454,凱基-台北,9268,800,879,-79,0.51,7,sell
6/09,2454,港商野村,1560,309,194,115,0.75,8,buy
6/09,2454,元大-館前,003900380034004b,8,81,-73,0.47,8,sell
6/09,2454,台新-台北,0039004200320030,510,400,110,0.71,9,buy
6/09,2454,元大證券,9800,947,1016,-69,0.45,9,sell
6/09,2454,元大-敦化,9833,111,4,107,0.7,10,buy
6/09,2454,國泰-敦南,8888,138,206,-68,0.44,10,sell
6/09,2454,群益金鼎-大安,0039003100380065,153,49,104,0.68,11,buy
6/09,2454,美商高盛,1480,547,614,-67,0.44,11,sell
6/09,2454,統一-城中,5854,116,38,78,0.51,12,buy
6/09,2454,凱基-信義,9216,32,98,-66,0.43,12,sell
6/09,2454,台新,0039004200300030,147,75,72,0.47,13,buy
6/09,2454,土銀,1030,2,62,-60,0.39,13,sell
6/09,2454,凱基-永和,9207,72,0,72,0.47,14,buy
6/09,2454,凱基,9200,185,225,-40,0.26,14,sell
6/09,2454,群益金鼎,9100,145,81,64,0.42,15,buy
6/09,2454,台新-台中,0039004200310068,5,40,-35,0.23,15,sell
6/09,2308,元大證券,9800,3094,1700,1394,8.95,1,buy
6/09,2308,美商高盛,1480,391,1558,-1167,7.5,1,sell
6/09,2308,摩根大通,8440,1227,531,696,4.47,2,buy
6/09,2308,美林,1440,82,865,-783,5.03,2,sell
6/09,2308,港商麥格理,1360,695,51,644,4.14,3,buy
6/09,2308,新加坡商瑞銀,1650,605,1121,-516,3.31,3,sell
6/09,2308,永豐金證券,0039004100300030,649,157,492,3.16,4,buy
6/09,2308,凱基-台北,9268,464,719,-255,1.64,4,sell
6/09,2308,花旗環球,1590,804,419,385,2.47,5,buy
6/09,2308,土銀,1030,0,124,-124,0.8,5,sell
6/09,2308,統一,5850,430,56,374,2.4,6,buy
6/09,2308,港商野村,1560,59,172,-113,0.73,6,sell
6/09,2308,台灣摩根士丹利,1470,1332,1053,279,1.79,7,buy
6/09,2308,華南永昌-虎尾,9377,1,90,-89,0.57,7,sell
6/09,2308,永豐金-匯立,0039004100380031,360,114,246,1.58,8,buy
6/09,2308,國泰-敦南,8888,145,231,-86,0.55,8,sell
6/09,2308,華南永昌,9300,247,43,204,1.31,9,buy
6/09,2308,富邦證券,9600,83,167,-84,0.54,9,sell
6/09,2308,國票-敦北法人,0037003700390063,315,114,201,1.29,10,buy
