date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/07,2330,新加坡商瑞銀,1650,5960,1493,4467,14.71,1,buy
7/07,2330,台灣摩根士丹利,1470,483,2107,-1624,5.35,1,sell
7/07,2330,花旗環球,1590,3642,1269,2373,7.81,2,buy
7/07,2330,元大證券,9800,1412,2358,-946,3.12,2,sell
7/07,2330,永豐金證券,0039004100300030,813,562,251,0.83,3,buy
7/07,2330,摩根大通,8440,1246,1989,-743,2.45,3,sell
7/07,2330,國泰證券,8880,263,33,230,0.76,4,buy
7/07,2330,美商高盛,1480,1524,2231,-707,2.33,4,sell
7/07,2330,華南永昌,9300,326,108,218,0.72,5,buy
7/07,2330,香港上海匯豐,8960,152,749,-597,1.97,5,sell
7/07,2330,群益金鼎,9100,389,211,178,0.59,6,buy
7/07,2330,富邦證券,9600,301,782,-481,1.58,6,sell
7/07,2330,彰銀,1230,154,5,149,0.49,7,buy
7/07,2330,凱基-台北,9268,1095,1489,-394,1.3,7,sell
7/07,2330,國泰-敦南,8888,326,249,77,0.25,8,buy
7/07,2330,群益金鼎-敦南,9101,16,374,-358,1.18,8,sell
7/07,2330,元大-台北,0039003800300068,165,112,53,0.17,9,buy
7/07,2330,美林,1440,384,709,-325,1.07,9,sell
7/07,2330,永豐金-匯立,0039004100380031,286,234,52,0.17,10,buy
7/07,2330,港商野村,1560,577,878,-301,0.99,10,sell
7/07,2330,台新,0039004200300030,155,104,51,0.17,11,buy
7/07,2330,港商麥格理,1360,274,544,-270,0.89,11,sell
7/07,2330,永豐金-萬盛,0039004100390032,61,11,50,0.16,12,buy
7/07,2330,凱基,9200,127,363,-236,0.78,12,sell
7/07,2330,統一,5850,182,132,50,0.16,13,buy
7/07,2330,永豐金-內湖,0039004100390067,46,245,-199,0.66,13,sell
7/07,2330,元大-敦化,9833,98,55,43,0.14,14,buy
7/07,2330,富邦-台北,9623,40,224,-184,0.61,14,sell
7/07,2330,法銀巴黎,8900,64,21,43,0.14,15,buy
7/07,2330,凱基-城中,9227,5,173,-168,0.55,15,sell
7/07,2317,凱基,9200,1093,56,1037,2.0,1,buy
7/07,2317,美林,1440,960,5982,-5022,9.7,1,sell
7/07,2317,群益金鼎,9100,825,77,748,1.44,2,buy
7/07,2317,美商高盛,1480,2007,4959,-2952,5.7,2,sell
7/07,2317,國泰證券,8880,937,191,746,1.44,3,buy
7/07,2317,台灣摩根士丹利,1470,755,3117,-2362,4.56,3,sell
7/07,2317,宏遠證券,1260,528,28,500,0.97,4,buy
7/07,2317,凱基-台北,9268,1763,3829,-2066,3.99,4,sell
7/07,2317,中國信託-新竹,6165,485,14,471,0.91,5,buy
7/07,2317,台新-台北,0039004200320030,29,2011,-1982,3.83,5,sell
7/07,2317,港商麥格理,1360,701,233,468,0.9,6,buy
7/07,2317,摩根大通,8440,2675,4395,-1720,3.32,6,sell
7/07,2317,國泰-敦南,8888,769,366,403,0.78,7,buy
