date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/20,2330,港商麥格理,1360,2145,781,1364,8.59,1,buy
8/20,2330,台灣摩根士丹利,1470,1676,2457,-781,4.92,1,sell
8/20,2330,元大證券,9800,911,386,525,3.31,2,buy
8/20,2330,永豐金-匯立,0039004100380031,496,1131,-635,4.0,2,sell
8/20,2330,美商高盛,1480,884,381,503,3.17,3,buy
8/20,2330,凱基-台北,9268,500,1118,-618,3.89,3,sell
8/20,2330,法銀巴黎,8900,1285,812,473,2.98,4,buy
8/20,2330,新加坡商瑞銀,1650,438,998,-560,3.53,4,sell
8/20,2330,花旗環球,1590,901,531,370,2.33,5,buy
8/20,2330,凱基-站前,0039003200300046,7,510,-503,3.17,5,sell
8/20,2330,美林,1440,525,229,296,1.86,6,buy
8/20,2330,摩根大通,8440,1658,1863,-205,1.29,6,sell
8/20,2330,富邦證券,9600,319,40,279,1.76,7,buy
8/20,2330,香港上海匯豐,8960,9,167,-158,1.0,7,sell
8/20,2330,永豐金證券,0039004100300030,196,82,114,0.72,8,buy
8/20,2330,統一,5850,36,170,-134,0.84,8,sell
8/20,2330,國泰證券,8880,122,13,109,0.69,9,buy
8/20,2330,國票-南港,7795,1,65,-64,0.4,9,sell
8/20,2330,中國信託,6160,191,90,101,0.64,10,buy
8/20,2330,兆豐-三重,7008,2,55,-53,0.33,10,sell
8/20,2330,港商野村,1560,94,28,66,0.42,11,buy
8/20,2330,臺銀,1040,24,58,-34,0.21,11,sell
8/20,2330,國票-敦北法人,0037003700390063,59,3,56,0.35,12,buy
8/20,2330,國票-台南,0037003700390044,0,33,-33,0.21,12,sell
8/20,2330,台新-台北,0039004200320030,51,6,45,0.28,13,buy
8/20,2330,凱基-信義,9216,0,29,-29,0.18,13,sell
8/20,2330,富邦-仁愛,9676,56,12,44,0.28,14,buy
8/20,2330,國泰-敦南,8888,66,94,-28,0.18,14,sell
8/20,2330,華南永昌,9300,67,24,43,0.27,15,buy
8/20,2330,富邦-南京,0039003600310043,10,36,-26,0.16,15,sell
8/20,2317,花旗環球,1590,3519,478,3041,11.54,1,buy
8/20,2317,台灣摩根士丹利,1470,122,4403,-4281,16.25,1,sell
8/20,2317,群益金鼎,9100,1091,96,995,3.78,2,buy
8/20,2317,摩根大通,8440,870,3592,-2722,10.33,2,sell
8/20,2317,美商高盛,1480,3784,2930,854,3.24,3,buy
8/20,2317,新加坡商瑞銀,1650,443,2536,-2093,7.94,3,sell
8/20,2317,港商麥格理,1360,868,84,784,2.98,4,buy
8/20,2317,元大-松江,9801,8,1766,-1758,6.67,4,sell
8/20,2317,法銀巴黎,8900,637,0,637,2.42,5,buy
8/20,2317,凱基-台北,9268,227,1316,-1089,4.13,5,sell
8/20,2317,元大證券,9800,1869,1302,567,2.15,6,buy
8/20,2317,港商野村,1560,35,365,-330,1.25,6,sell
8/20,2317,中國信託,6160,300,26,274,1.04,7,buy
8/20,2317,台新,0039004200300030,147,348,-201,0.76,7,sell
8/20,2317,美林,1440,911,690,221,0.84,8,buy
8/20,2317,富邦證券,9600,96,184,-88,0.33,8,sell
8/20,2317,中國信託-高雄,003600310036004b,320,108,212,0.8,9,buy
8/20,2317,統一,5850,19,95,-76,0.29,9,sell
8/20,2317,國泰-敦南,8888,266,103,163,0.62,10,buy
8/20,2317,華南永昌,9300,29,97,-68,0.26,10,sell
8/20,2317,香港上海匯豐,8960,243,81,162,0.61,11,buy
8/20,2317,兆豐-天母,003700300030004c,9,60,-51,0.19,11,sell
8/20,2317,永豐金證券,0039004100300030,214,93,121,0.46,12,buy
8/20,2317,臺銀-臺中,0031003000340041,20,65,-45,0.17,12,sell
8/20,2317,富邦-永康,003900360031005a,116,2,114,0.43,13,buy
8/20,2317,國泰證券,8880,31,68,-37,0.14,13,sell
8/20,2317,元大-竹南,0039003800330056,113,0,113,0.43,14,buy
8/20,2317,合庫-自強,0031003000320043,3,37,-34,0.13,14,sell
8/20,2317,元大-大灣,9815,113,6,107,0.41,15,buy
8/20,2317,第一金-新竹,0035003300380042,4,33,-29,0.11,15,sell
8/20,2454,富邦證券,9600,1813,322,1491,11.59,1,buy
8/20,2454,摩根大通,8440,268,1309,-1041,8.09,1,sell
8/20,2454,元大證券,9800,2468,1332,1136,8.83,2,buy
8/20,2454,新加坡商瑞銀,1650,73,878,-805,6.26,2,sell
8/20,2454,國泰-敦南,8888,215,74,141,1.1,3,buy
8/20,2454,永豐金證券,0039004100300030,121,893,-772,6.0,3,sell
8/20,2454,港商野村,1560,277,184,93,0.72,4,buy
8/20,2454,美商高盛,1480,248,818,-570,4.43,4,sell
8/20,2454,法銀巴黎,8900,86,8,78,0.61,5,buy
8/20,2454,凱基-台北,9268,400,908,-508,3.95,5,sell
8/20,2454,群益金鼎-敦南,9101,73,3,70,0.54,6,buy
8/20,2454,凱基,9200,83,430,-347,2.7,6,sell
8/20,2454,永豐金-內湖,0039004100390067,73,20,53,0.41,7,buy
8/20,2454,美林,1440,240,540,-300,2.33,7,sell
8/20,2454,中國信託,6160,56,15,41,0.32,8,buy
8/20,2454,群益金鼎,9100,59,333,-274,2.13,8,sell
8/20,2454,元大-新莊,9898,41,5,36,0.28,9,buy
8/20,2454,統一,5850,35,274,-239,1.86,9,sell
8/20,2454,富邦-中壢,9636,47,10,37,0.29,10,buy
8/20,2454,國泰證券,8880,34,258,-224,1.74,10,sell
8/20,2454,國泰-台中,8882,58,22,36,0.28,11,buy
8/20,2454,國票-敦北法人,0037003700390063,22,207,-185,1.44,11,sell
