date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/18,2330,摩根大通,8440,7768,2389,5379,14.46,1,buy
9/18,2330,元大證券,9800,1671,4531,-2860,7.69,1,sell
9/18,2330,香港上海匯豐,8960,1601,2,1599,4.3,2,buy
9/18,2330,中國信託,6160,12,1709,-1697,4.56,2,sell
9/18,2330,永豐金證券,0039004100300030,1478,113,1365,3.67,3,buy
9/18,2330,美林,1440,729,1443,-714,1.92,3,sell
9/18,2330,美商高盛,1480,3875,2551,1324,3.56,4,buy
9/18,2330,凱基-台北,9268,1921,2288,-367,0.99,4,sell
9/18,2330,港商麥格理,1360,1726,538,1188,3.19,5,buy
9/18,2330,富邦證券,9600,104,398,-294,0.79,5,sell
9/18,2330,港商野村,1560,1017,542,475,1.28,6,buy
9/18,2330,國泰-敦南,8888,85,314,-229,0.62,6,sell
9/18,2330,台灣摩根士丹利,1470,1807,1435,372,1.0,7,buy
9/18,2330,凱基-雙和,0039003200300043,2,207,-205,0.55,7,sell
9/18,2330,大和國泰,8890,262,16,246,0.66,8,buy
9/18,2330,第一金-台中,5382,1,132,-131,0.35,8,sell
9/18,2330,法銀巴黎,8900,270,25,245,0.66,9,buy
9/18,2330,凱基-永和,9207,1,124,-123,0.33,9,sell
9/18,2330,永豐金-匯立,0039004100380031,764,543,221,0.59,10,buy
9/18,2330,國泰證券,8880,703,825,-122,0.33,10,sell
9/18,2330,國票-敦北法人,0037003700390063,215,13,202,0.54,11,buy
9/18,2330,新加坡商瑞銀,1650,1678,1799,-121,0.33,11,sell
9/18,2330,群益金鼎,9100,226,35,191,0.51,12,buy
9/18,2330,台中銀,6110,0,100,-100,0.27,12,sell
9/18,2330,凱基,9200,301,112,189,0.51,13,buy
9/18,2330,元大-新竹經國,9859,5,94,-89,0.24,13,sell
9/18,2330,台新-五權西,0039004200320035,82,9,73,0.2,14,buy
9/18,2330,宏遠-高雄,0031003200360051,7,92,-85,0.23,14,sell
9/18,2330,統一-仁愛,0035003800350063,42,2,40,0.11,15,buy
9/18,2330,台新-城東,0039004200320072,5,90,-85,0.23,15,sell
9/18,2317,花旗環球,1590,4200,1735,2465,5.54,1,buy
9/18,2317,摩根大通,8440,5349,9651,-4302,9.67,1,sell
9/18,2317,美商高盛,1480,3729,1763,1966,4.42,2,buy
9/18,2317,美林,1440,579,2486,-1907,4.28,2,sell
9/18,2317,群益金鼎,9100,746,93,653,1.47,3,buy
9/18,2317,台灣摩根士丹利,1470,2481,4018,-1537,3.45,3,sell
9/18,2317,永豐金-匯立,0039004100380031,743,296,447,1.0,4,buy
9/18,2317,香港上海匯豐,8960,396,1793,-1397,3.14,4,sell
9/18,2317,元大-虎尾,003900380030006c,355,1,354,0.8,5,buy
9/18,2317,凱基-台北,9268,553,1908,-1355,3.04,5,sell
9/18,2317,元大證券,9800,3693,3345,348,0.78,6,buy
9/18,2317,法銀巴黎,8900,144,1209,-1065,2.39,6,sell
9/18,2317,富邦證券,9600,477,145,332,0.75,7,buy
9/18,2317,中國信託,6160,245,1118,-873,1.96,7,sell
9/18,2317,兆豐-埔墘,003700300030004e,329,3,326,0.73,8,buy
9/18,2317,兆豐證券,7000,95,864,-769,1.73,8,sell
9/18,2317,聯邦-大業,8586,313,1,312,0.7,9,buy
9/18,2317,港商麥格理,1360,47,599,-552,1.24,9,sell
9/18,2317,凱基-高美館,9215,293,1,292,0.66,10,buy
9/18,2317,凱基,9200,315,857,-542,1.22,10,sell
9/18,2317,永豐金證券,0039004100300030,490,204,286,0.64,11,buy
9/18,2317,港商野村,1560,15,526,-511,1.15,11,sell
9/18,2317,中國信託-高雄,003600310036004b,262,5,257,0.58,12,buy
9/18,2317,凱基-中山,9229,22,158,-136,0.31,12,sell
9/18,2317,台新,0039004200300030,670,439,231,0.52,13,buy
9/18,2317,第一金-高雄,5383,6,103,-97,0.22,13,sell
9/18,2317,國泰-敦南,8888,328,191,137,0.31,14,buy
9/18,2317,國票-敦北法人,0037003700390063,155,202,-47,0.11,14,sell
9/18,2317,富邦-頭份,0039003600320050,129,3,126,0.28,15,buy
9/18,2317,統一-台中,5856,12,56,-44,0.1,15,sell
9/18,2454,摩根大通,8440,1140,150,990,9.97,1,buy
9/18,2454,中國信託,6160,12,1071,-1059,10.66,1,sell
9/18,2454,元大證券,9800,955,499,456,4.59,2,buy
9/18,2454,港商野村,1560,43,244,-201,2.02,2,sell
9/18,2454,台灣摩根士丹利,1470,800,354,446,4.49,3,buy
9/18,2454,香港上海匯豐,8960,73,195,-122,1.23,3,sell
9/18,2454,美林,1440,512,185,327,3.29,4,buy
9/18,2454,土銀,1030,0,118,-118,1.19,4,sell
9/18,2454,美商高盛,1480,716,438,278,2.8,5,buy
9/18,2454,法銀巴黎,8900,27,116,-89,0.9,5,sell
9/18,2454,港商麥格理,1360,299,57,242,2.44,6,buy
9/18,2454,國泰-敦南,8888,79,158,-79,0.8,6,sell
9/18,2454,新加坡商瑞銀,1650,668,432,236,2.38,7,buy
9/18,2454,元大-館前,003900380034004b,32,98,-66,0.66,7,sell
9/18,2454,凱基-台北,9268,499,365,134,1.35,8,buy
9/18,2454,元大-忠孝鼎富,0039003800320046,0,66,-66,0.66,8,sell
9/18,2454,花旗環球,1590,436,328,108,1.09,9,buy
9/18,2454,富邦-台北,9623,18,68,-50,0.5,9,sell
9/18,2454,永豐金證券,0039004100300030,161,53,108,1.09,10,buy
9/18,2454,元大-北屯,0039003800390064,6,46,-40,0.4,10,sell
9/18,2454,永豐金-內湖,0039004100390067,118,32,86,0.87,11,buy
9/18,2454,元大-南屯,9853,14,43,-29,0.29,11,sell
9/18,2454,群益金鼎,9100,129,45,84,0.85,12,buy
9/18,2454,永豐金-亞灣,0039004100390061,6,34,-28,0.28,12,sell
9/18,2454,富邦證券,9600,324,254,70,0.7,13,buy
9/18,2454,富邦-新竹,9647,6,32,-26,0.26,13,sell
9/18,2454,宏遠-高雄,0031003200360051,60,3,57,0.57,14,buy
9/18,2454,第一金-高雄,5383,1,25,-24,0.24,14,sell
9/18,2454,統一,5850,100,48,52,0.52,15,buy
9/18,2454,國泰-板橋,003800380038004b,15,38,-23,0.23,15,sell
9/18,2308,美商高盛,1480,2004,374,1630,12.84,1,buy
9/18,2308,富邦證券,9600,42,1106,-1064,8.38,1,sell
9/18,2308,摩根大通,8440,1776,253,1523,11.99,2,buy
9/18,2308,永豐金-匯立,0039004100380031,127,1052,-925,7.28,2,sell
9/18,2308,台灣摩根士丹利,1470,1307,292,1015,7.99,3,buy
9/18,2308,永豐金證券,0039004100300030,440,1154,-714,5.62,3,sell
9/18,2308,美林,1440,666,465,201,1.58,4,buy
9/18,2308,元大證券,9800,1012,1364,-352,2.77,4,sell
