date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
3/19,2330,國泰-敦南,8888,957,123,834,2.16,1,buy
3/19,2330,摩根大通,8440,519,8258,-7739,20.07,1,sell
3/19,2330,永豐金證券,0039004100300030,1184,421,763,1.98,2,buy
3/19,2330,港商麥格理,1360,250,2988,-2738,7.1,2,sell
3/19,2330,凱基-三多,9275,461,1,460,1.19,3,buy
3/19,2330,台灣摩根士丹利,1470,568,3235,-2667,6.92,3,sell
3/19,2330,國泰證券,8880,495,126,369,0.96,4,buy
3/19,2330,美商高盛,1480,384,3036,-2652,6.88,4,sell
3/19,2330,新光,8560,397,103,294,0.76,5,buy
3/19,2330,新加坡商瑞銀,1650,206,2367,-2161,5.6,5,sell
3/19,2330,統一,5850,654,382,272,0.71,6,buy
3/19,2330,美林,1440,446,1869,-1423,3.69,6,sell
3/19,2330,台新證券,8150,350,92,258,0.67,7,buy
3/19,2330,元大證券,9800,933,1840,-907,2.35,7,sell
3/19,2330,台灣企銀,1110,254,3,251,0.65,8,buy
3/19,2330,花旗環球,1590,841,1736,-895,2.32,8,sell
3/19,2330,華南永昌,9300,313,63,250,0.65,9,buy
3/19,2330,凱基-台北,9268,685,1555,-870,2.26,9,sell
3/19,2330,法銀巴黎,8900,344,143,201,0.52,10,buy
3/19,2330,永豐金-匯立,0039004100380031,189,891,-702,1.82,10,sell
3/19,2330,國泰-館前,0038003800380041,206,17,189,0.49,11,buy
3/19,2330,宏遠證券,1260,115,440,-325,0.84,11,sell
3/19,2330,國泰-板橋,003800380038004b,205,18,187,0.48,12,buy
3/19,2330,元大-和平,9863,28,304,-276,0.72,12,sell
3/19,2330,國泰-台中,8882,210,26,184,0.48,13,buy
3/19,2330,富邦證券,9600,386,547,-161,0.42,13,sell
3/19,2330,元大-台北,0039003800300068,178,4,174,0.45,14,buy
3/19,2330,大和國泰,8890,253,364,-111,0.29,14,sell
3/19,2330,富邦-新竹,9647,186,16,170,0.44,15,buy
3/19,2330,康和,8450,14,101,-87,0.23,15,sell
3/19,2317,國泰-敦南,8888,2308,597,1711,1.92,1,buy
3/19,2317,台灣摩根士丹利,1470,205,9486,-9281,10.42,1,sell
3/19,2317,台灣企銀,1110,854,43,811,0.91,2,buy
3/19,2317,美林,1440,156,7904,-7748,8.7,2,sell
3/19,2317,新光,8560,972,295,677,0.76,3,buy
3/19,2317,國泰證券,8880,133,6476,-6343,7.12,3,sell
3/19,2317,元大-彰化,0039003800310047,781,121,660,0.74,4,buy
3/19,2317,美商高盛,1480,512,6060,-5548,6.23,4,sell
3/19,2317,凱基-彰化,0039003200300047,682,34,648,0.73,5,buy
3/19,2317,摩根大通,8440,239,3666,-3427,3.85,5,sell
3/19,2317,富邦-虎尾,9697,626,17,609,0.68,6,buy
3/19,2317,統一,5850,130,2642,-2512,2.82,6,sell
3/19,2317,元大-府城,0039003800300075,680,90,590,0.66,7,buy
3/19,2317,凱基-台北,9268,1159,3507,-2348,2.64,7,sell
3/19,2317,元大-南屯,9853,573,32,541,0.61,8,buy
3/19,2317,新加坡商瑞銀,1650,204,2511,-2307,2.59,8,sell
3/19,2317,國泰-台中,8882,752,227,525,0.59,9,buy
3/19,2317,永豐金-匯立,0039004100380031,55,2017,-1962,2.2,9,sell
3/19,2317,中國信託,6160,594,87,507,0.57,10,buy
3/19,2317,香港上海匯豐,8960,0,1843,-1843,2.07,10,sell
3/19,2317,玉山-高雄,8843,541,91,450,0.51,11,buy
3/19,2317,台新證券,8150,868,2213,-1345,1.51,11,sell
3/19,2317,統一-新竹,5857,442,18,424,0.48,12,buy
3/19,2317,花旗環球,1590,13,1214,-1201,1.35,12,sell
3/19,2317,國泰-板橋,003800380038004b,519,109,410,0.46,13,buy
3/19,2317,凱基-站前,0039003200300046,224,1374,-1150,1.29,13,sell
3/19,2317,第一金-路竹,0035003300380050,411,36,375,0.42,14,buy
3/19,2317,港商野村,1560,4,970,-966,1.08,14,sell
3/19,2317,富邦-陽明,9604,384,48,336,0.38,15,buy
3/19,2317,凱基,9200,17,807,-790,0.89,15,sell
3/19,2454,中國信託,6160,303,49,254,3.18,1,buy
3/19,2454,美商高盛,1480,244,856,-612,7.65,1,sell
3/19,2454,永豐金證券,0039004100300030,209,57,152,1.9,2,buy
3/19,2454,新加坡商瑞銀,1650,246,837,-591,7.39,2,sell
3/19,2454,國泰-敦南,8888,141,44,97,1.21,3,buy
3/19,2454,凱基-中山,9229,9,570,-561,7.02,3,sell
3/19,2454,國泰證券,8880,110,23,87,1.09,4,buy
3/19,2454,富邦證券,9600,218,714,-496,6.2,4,sell
3/19,2454,兆豐-新竹,0037003000300056,81,0,81,1.01,5,buy
3/19,2454,花旗環球,1590,8,412,-404,5.05,5,sell
3/19,2454,凱基-台北,9268,301,233,68,0.85,6,buy
3/19,2454,美林,1440,63,354,-291,3.64,6,sell
3/19,2454,台灣摩根士丹利,1470,337,284,53,0.66,7,buy
3/19,2454,港商麥格理,1360,114,287,-173,2.16,7,sell
3/19,2454,中國信託-忠孝,6162,55,2,53,0.66,8,buy
3/19,2454,群益金鼎,9100,14,173,-159,1.99,8,sell
3/19,2454,台新證券,8150,72,23,49,0.61,9,buy
3/19,2454,凱基,9200,31,152,-121,1.51,9,sell
3/19,2454,玉山證券,8840,47,2,45,0.56,10,buy
3/19,2454,永豐金-匯立,0039004100380031,35,145,-110,1.38,10,sell
3/19,2454,國泰-板橋,003800380038004b,37,3,34,0.43,11,buy
3/19,2454,港商野村,1560,7,99,-92,1.15,11,sell
3/19,2454,統一-敦南,5852,37,4,33,0.41,12,buy
3/19,2454,大和國泰,8890,0,79,-79,0.99,12,sell
3/19,2454,富邦-中壢,9636,33,1,32,0.4,13,buy
3/19,2454,摩根大通,8440,443,509,-66,0.83,13,sell
3/19,2454,國泰-台中,8882,44,13,31,0.39,14,buy
3/19,2454,宏遠證券,1260,1,55,-54,0.68,14,sell
3/19,2454,國泰-桃園,8885,34,5,29,0.36,15,buy
3/19,2454,元富-敦南,0039004200320051,3,51,-48,0.6,15,sell
3/19,2308,美林,1440,3235,158,3077,36.92,1,buy
3/19,2308,摩根大通,8440,286,880,-594,7.13,1,sell
3/19,2308,兆豐證券,7000,300,31,269,3.23,2,buy
3/19,2308,美商高盛,1480,408,960,-552,6.62,2,sell
3/19,2308,港商麥格理,1360,129,60,69,0.83,3,buy
3/19,2308,新加坡商瑞銀,1650,349,779,-430,5.16,3,sell
3/19,2308,凱基-台北,9268,433,366,67,0.8,4,buy
3/19,2308,台灣摩根士丹利,1470,93,423,-330,3.96,4,sell
3/19,2308,永豐金證券,0039004100300030,176,115,61,0.73,5,buy
3/19,2308,大和國泰,8890,3,320,-317,3.8,5,sell
3/19,2308,香港上海匯豐,8960,32,2,30,0.36,6,buy
3/19,2308,富邦證券,9600,54,350,-296,3.55,6,sell
3/19,2308,兆豐-台中,7003,24,3,21,0.25,7,buy
3/19,2308,元大證券,9800,206,483,-277,3.32,7,sell
3/19,2308,永豐金-台南,0039004100390068,24,3,21,0.25,8,buy
3/19,2308,凱基,9200,0,220,-220,2.64,8,sell
3/19,2308,元大-南京,9862,22,6,16,0.19,9,buy
3/19,2308,台新證券,8150,19,145,-126,1.51,9,sell
3/19,2308,德信,6910,15,0,15,0.18,10,buy
3/19,2308,統一,5850,46,156,-110,1.32,10,sell
3/19,2308,元大-北屯,0039003800390064,13,0,13,0.16,11,buy
3/19,2308,國票-敦北法人,0037003700390063,0,89,-89,1.07,11,sell
3/19,2308,富邦-陽明,9604,16,4,12,0.14,12,buy
3/19,2308,元富-台南,0039004200320039,1,60,-59,0.71,12,sell
3/19,2308,元大-斗信,9884,11,1,10,0.12,13,buy
3/19,2308,港商野村,1560,0,58,-58,0.7,13,sell
3/19,2308,元大-中壢,9834,14,4,10,0.12,14,buy
3/19,2308,群益金鼎,9100,17,57,-40,0.48,14,sell
3/19,2308,凱基-中山,9229,12,2,10,0.12,15,buy
3/19,2308,新光-新竹,8563,3,43,-40,0.48,15,sell
3/19,2382,凱基-台北,9268,1099,527,572,5.48,1,buy
3/19,2382,新加坡商瑞銀,1650,143,1013,-870,8.34,1,sell
3/19,2382,群益金鼎,9100,435,17,418,4.01,2,buy
3/19,2382,美商高盛,1480,497,1316,-819,7.85,2,sell
3/19,2382,永豐金-匯立,0039004100380031,297,19,278,2.67,3,buy
