date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
5/29,2330,摩根大通,8440,23823,6484,17339,19.36,1,buy
5/29,2330,新加坡商瑞銀,1650,4784,10518,-5734,6.4,1,sell
5/29,2330,元大證券,9800,9052,2161,6891,7.69,2,buy
5/29,2330,美林,1440,3127,8394,-5267,5.88,2,sell
5/29,2330,富邦證券,9600,5710,1554,4156,4.64,3,buy
5/29,2330,美商高盛,1480,5026,8430,-3404,3.8,3,sell
5/29,2330,凱基-台北,9268,3724,1896,1828,2.04,4,buy
5/29,2330,香港上海匯豐,8960,1744,4245,-2501,2.79,4,sell
5/29,2330,台灣摩根士丹利,1470,12578,11703,875,0.98,5,buy
5/29,2330,永豐金-匯立,0039004100380031,1532,3437,-1905,2.13,5,sell
5/29,2330,港商麥格理,1360,1145,288,857,0.96,6,buy
5/29,2330,港商野村,1560,453,907,-454,0.51,6,sell
5/29,2330,花旗環球,1590,3319,2596,723,0.81,7,buy
5/29,2330,國泰-敦南,8888,223,635,-412,0.46,7,sell
5/29,2330,永豐金證券,0039004100300030,972,534,438,0.49,8,buy
5/29,2330,宏遠證券,1260,62,389,-327,0.37,8,sell
5/29,2330,群益金鼎-敦南,9101,375,10,365,0.41,9,buy
5/29,2330,統一,5850,59,378,-319,0.36,9,sell
5/29,2330,華南永昌-古亭,9309,186,9,177,0.2,10,buy
5/29,2330,凱基-站前,0039003200300046,25,294,-269,0.3,10,sell
5/29,2330,兆豐-忠孝,0037003000300061,207,66,141,0.16,11,buy
5/29,2330,富邦-仁愛,9676,43,278,-235,0.26,11,sell
5/29,2330,國票-敦北法人,0037003700390063,206,68,138,0.15,12,buy
5/29,2330,新光,8560,171,387,-216,0.24,12,sell
5/29,2330,華南永昌-忠孝,9325,136,16,120,0.13,13,buy
5/29,2330,群益金鼎,9100,45,235,-190,0.21,13,sell
5/29,2330,永豐金-內湖,0039004100390067,146,53,93,0.1,14,buy
5/29,2330,玉山-台南,8847,19,197,-178,0.2,14,sell
5/29,2330,兆豐-鹿港,0037003000300066,104,11,93,0.1,15,buy
5/29,2330,法銀巴黎,8900,868,1036,-168,0.19,15,sell
5/29,2317,摩根大通,8440,32311,3570,28741,9.94,1,buy
5/29,2317,法銀巴黎,8900,303,4555,-4252,1.47,1,sell
5/29,2317,美林,1440,17235,3181,14054,4.86,2,buy
5/29,2317,國泰-敦南,8888,1850,4740,-2890,1.0,2,sell
5/29,2317,元大證券,9800,29057,17121,11936,4.13,3,buy
5/29,2317,永豐金-匯立,0039004100380031,1766,4242,-2476,0.86,3,sell
5/29,2317,凱基,9200,10324,502,9822,3.4,4,buy
5/29,2317,新光,8560,851,2167,-1316,0.46,4,sell
5/29,2317,凱基-台北,9268,19066,11486,7580,2.62,5,buy
5/29,2317,群益金鼎-台南,9185,20,1133,-1113,0.39,5,sell
5/29,2317,美商高盛,1480,10677,3418,7259,2.51,6,buy
5/29,2317,富邦-板橋,9655,356,1302,-946,0.33,6,sell
5/29,2317,花旗環球,1590,8627,1433,7194,2.49,7,buy
5/29,2317,台新-台北,0039004200320030,160,1086,-926,0.32,7,sell
5/29,2317,港商野村,1560,6875,205,6670,2.31,8,buy
5/29,2317,國泰-板橋,003800380038004b,358,1223,-865,0.3,8,sell
5/29,2317,富邦證券,9600,14212,9249,4963,1.72,9,buy
5/29,2317,富邦-台北,9623,484,1281,-797,0.28,9,sell
5/29,2317,統一,5850,7680,2796,4884,1.69,10,buy
5/29,2317,國泰-台中,8882,384,1177,-793,0.27,10,sell
5/29,2317,新加坡商瑞銀,1650,10668,5880,4788,1.66,11,buy
5/29,2317,統一-台中,5856,83,796,-713,0.25,11,sell
5/29,2317,凱基-信義,9216,8867,4391,4476,1.55,12,buy
5/29,2317,高橋,5320,48,748,-700,0.24,12,sell
5/29,2317,國票-敦北法人,0037003700390063,5036,2785,2251,0.78,13,buy
5/29,2317,元大-土城永寧,9875,37,721,-684,0.24,13,sell
5/29,2317,台灣摩根士丹利,1470,8521,6639,1882,0.65,14,buy
5/29,2317,合庫證券,1020,61,740,-679,0.23,14,sell
5/29,2317,台新,0039004200300030,3863,2104,1759,0.61,15,buy
5/29,2317,富邦-陽明,9604,139,810,-671,0.23,15,sell
5/29,2454,台灣摩根士丹利,1470,2778,1533,1245,5.58,1,buy
5/29,2454,摩根大通,8440,1060,3409,-2349,10.52,1,sell
5/29,2454,美商高盛,1480,2255,1139,1116,5.0,2,buy
5/29,2454,美林,1440,769,1889,-1120,5.02,2,sell
5/29,2454,元大證券,9800,2687,1588,1099,4.92,3,buy
5/29,2454,花旗環球,1590,126,873,-747,3.35,3,sell
5/29,2454,凱基-台北,9268,1363,967,396,1.77,4,buy
5/29,2454,法銀巴黎,8900,41,649,-608,2.72,4,sell
5/29,2454,永豐金證券,0039004100300030,455,110,345,1.55,5,buy
5/29,2454,新加坡商瑞銀,1650,1468,1962,-494,2.21,5,sell
5/29,2454,元大-土城永寧,9875,221,8,213,0.95,6,buy
5/29,2454,康和,8450,7,415,-408,1.83,6,sell
5/29,2454,國泰-敦南,8888,260,136,124,0.56,7,buy
5/29,2454,富邦證券,9600,498,895,-397,1.78,7,sell
5/29,2454,華南永昌-古亭,9309,146,36,110,0.49,8,buy
5/29,2454,永豐金-匯立,0039004100380031,544,908,-364,1.63,8,sell
5/29,2454,國泰證券,8880,85,28,57,0.26,9,buy
5/29,2454,華南永昌,9300,50,387,-337,1.51,9,sell
5/29,2454,新光,8560,133,80,53,0.24,10,buy
5/29,2454,港商野村,1560,83,365,-282,1.26,10,sell
5/29,2454,永豐金-萬盛,0039004100390032,62,10,52,0.23,11,buy
5/29,2454,群益金鼎,9100,231,431,-200,0.9,11,sell
5/29,2454,永豐金-內湖,0039004100390067,56,6,50,0.22,12,buy
5/29,2454,統一,5850,137,258,-121,0.54,12,sell
5/29,2454,富邦-仁愛,9676,69,24,45,0.2,13,buy
5/29,2454,香港上海匯豐,8960,140,260,-120,0.54,13,sell
