date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
4/14,2330,摩根大通,8440,5915,1937,3978,8.87,1,buy
4/14,2330,港商麥格理,1360,175,1583,-1408,3.14,1,sell
4/14,2330,美商高盛,1480,4066,601,3465,7.73,2,buy
4/14,2330,臺銀,1040,36,722,-686,1.53,2,sell
4/14,2330,永豐金-匯立,0039004100380031,2957,487,2470,5.51,3,buy
4/14,2330,國泰-敦南,8888,302,951,-649,1.45,3,sell
4/14,2330,新加坡商瑞銀,1650,3015,624,2391,5.33,4,buy
4/14,2330,元大-大雅,0039003800330069,12,446,-434,0.97,4,sell
4/14,2330,港商野村,1560,2524,205,2319,5.17,5,buy
4/14,2330,台新,0039004200300030,114,505,-391,0.87,5,sell
4/14,2330,台灣摩根士丹利,1470,3168,1118,2050,4.57,6,buy
4/14,2330,凱基-雙和,0039003200300043,1,367,-366,0.82,6,sell
4/14,2330,花旗環球,1590,3288,1409,1879,4.19,7,buy
4/14,2330,彰銀,1230,7,267,-260,0.58,7,sell
4/14,2330,元大證券,9800,3196,1699,1497,3.34,8,buy
4/14,2330,土銀,1030,9,228,-219,0.49,8,sell
4/14,2330,永豐金證券,0039004100300030,1364,617,747,1.67,9,buy
4/14,2330,國泰-台中,8882,38,254,-216,0.48,9,sell
4/14,2330,凱基-台北,9268,1453,714,739,1.65,10,buy
4/14,2330,富邦-南京,0039003600310043,19,214,-195,0.43,10,sell
4/14,2330,富邦證券,9600,649,296,353,0.79,11,buy
4/14,2330,美林,1440,901,1091,-190,0.42,11,sell
4/14,2330,法銀巴黎,8900,270,20,250,0.56,12,buy
4/14,2330,富邦-岡山,9616,2,172,-170,0.38,12,sell
4/14,2330,國泰證券,8880,280,44,236,0.53,13,buy
4/14,2330,新光,8560,200,369,-169,0.38,13,sell
4/14,2330,統一,5850,348,136,212,0.47,14,buy
4/14,2330,國泰-館前,0038003800380041,28,197,-169,0.38,14,sell
4/14,2330,香港上海匯豐,8960,276,105,171,0.38,15,buy
4/14,2330,國泰-板橋,003800380038004b,49,214,-165,0.37,15,sell
4/14,2317,摩根大通,8440,11389,3446,7943,13.59,1,buy
4/14,2317,美林,1440,2654,3634,-980,1.68,1,sell
4/14,2317,花旗環球,1590,5789,936,4853,8.3,2,buy
4/14,2317,台灣摩根士丹利,1470,1725,2605,-880,1.51,2,sell
4/14,2317,美商高盛,1480,4081,1565,2516,4.31,3,buy
4/14,2317,國泰-敦南,8888,489,1141,-652,1.12,3,sell
4/14,2317,元大證券,9800,6250,4115,2135,3.65,4,buy
4/14,2317,台新,0039004200300030,288,771,-483,0.83,4,sell
4/14,2317,凱基-台北,9268,3308,1764,1544,2.64,5,buy
4/14,2317,永豐金-匯立,0039004100380031,26,492,-466,0.8,5,sell
4/14,2317,凱基,9200,855,2,853,1.46,6,buy
4/14,2317,統一-新竹,5857,7,340,-333,0.57,6,sell
4/14,2317,永豐金證券,0039004100300030,962,248,714,1.22,7,buy
4/14,2317,新光,8560,207,497,-290,0.5,7,sell
4/14,2317,新加坡商瑞銀,1650,1471,936,535,0.92,8,buy
4/14,2317,彰銀,1230,56,313,-257,0.44,8,sell
4/14,2317,康和,8450,511,4,507,0.87,9,buy
4/14,2317,富邦-虎尾,9697,2,252,-250,0.43,9,sell
4/14,2317,香港上海匯豐,8960,552,46,506,0.87,10,buy
4/14,2317,凱基-台中,9204,22,254,-232,0.4,10,sell
4/14,2317,法銀巴黎,8900,332,0,332,0.57,11,buy
4/14,2317,港商麥格理,1360,0,217,-217,0.37,11,sell
4/14,2317,第一金-中山,5389,245,19,226,0.39,12,buy
4/14,2317,中國信託-三重,6161,24,239,-215,0.37,12,sell
4/14,2317,統一,5850,263,93,170,0.29,13,buy
4/14,2317,第一金-台南,5384,88,292,-204,0.35,13,sell
4/14,2317,永豐金-萬盛,0039004100390032,160,23,137,0.23,14,buy
4/14,2317,凱基-台南,9211,15,204,-189,0.32,14,sell
4/14,2317,群益金鼎-東門,0039003100380044,157,21,136,0.23,15,buy
4/14,2317,富邦證券,9600,68,249,-181,0.31,15,sell
4/14,2454,美商高盛,1480,1702,366,1336,10.36,1,buy
4/14,2454,港商麥格理,1360,175,811,-636,4.93,1,sell
