date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
3/11,2330,摩根大通,8440,4312,2001,2311,5.95,1,buy
3/11,2330,新加坡商瑞銀,1650,862,1948,-1086,2.8,1,sell
3/11,2330,花旗環球,1590,3549,1602,1947,5.01,2,buy
3/11,2330,凱基,9200,202,980,-778,2.0,2,sell
3/11,2330,元大證券,9800,3063,1149,1914,4.93,3,buy
3/11,2330,台灣摩根士丹利,1470,1629,2370,-741,1.91,3,sell
3/11,2330,港商麥格理,1360,1594,203,1391,3.58,4,buy
3/11,2330,凱基-台北,9268,871,1385,-514,1.32,4,sell
3/11,2330,台新證券,8150,976,211,765,1.97,5,buy
3/11,2330,永豐金證券,0039004100300030,676,934,-258,0.66,5,sell
3/11,2330,元富,0039004200300030,906,158,748,1.93,6,buy
3/11,2330,華南永昌-中正,9359,13,250,-237,0.61,6,sell
3/11,2330,美林,1440,2183,1577,606,1.56,7,buy
3/11,2330,凱基-彰化,0039003200300047,24,254,-230,0.59,7,sell
3/11,2330,國泰證券,8880,563,103,460,1.18,8,buy
3/11,2330,福邦證券,6480,13,201,-188,0.48,8,sell
3/11,2330,永豐金-匯立,0039004100380031,827,422,405,1.04,9,buy
3/11,2330,宏遠證券,1260,116,262,-146,0.38,9,sell
3/11,2330,統一,5850,553,172,381,0.98,10,buy
3/11,2330,港商野村,1560,199,341,-142,0.37,10,sell
3/11,2330,永豐金-豐原,0039004100390051,360,5,355,0.91,11,buy
3/11,2330,彰銀,1230,122,261,-139,0.36,11,sell
3/11,2330,永豐金-內湖,0039004100390067,364,53,311,0.8,12,buy
3/11,2330,國泰-台中,8882,93,215,-122,0.31,12,sell
3/11,2330,兆豐-南京,0037003000300050,300,40,260,0.67,13,buy
3/11,2330,永豐金-萬盛,0039004100390032,10,129,-119,0.31,13,sell
3/11,2330,大和國泰,8890,503,317,186,0.48,14,buy
3/11,2330,新光,8560,192,306,-114,0.29,14,sell
3/11,2330,法銀巴黎,8900,267,127,140,0.36,15,buy
3/11,2330,群益金鼎,9100,108,210,-102,0.26,15,sell
3/11,2317,美商高盛,1480,9229,1712,7517,13.74,1,buy
3/11,2317,港商野村,1560,245,1636,-1391,2.54,1,sell
3/11,2317,新加坡商瑞銀,1650,6412,2565,3847,7.03,2,buy
3/11,2317,宏遠證券,1260,2,1025,-1023,1.87,2,sell
3/11,2317,台灣摩根士丹利,1470,5002,1173,3829,7.0,3,buy
3/11,2317,統一,5850,577,1516,-939,1.72,3,sell
3/11,2317,美林,1440,3130,751,2379,4.35,4,buy
3/11,2317,國票-敦北法人,0037003700390063,9,725,-716,1.31,4,sell
3/11,2317,元大證券,9800,3388,2480,908,1.66,5,buy
3/11,2317,元富,0039004200300030,472,1047,-575,1.05,5,sell
3/11,2317,凱基-台北,9268,1786,1015,771,1.41,6,buy
3/11,2317,國泰-敦南,8888,527,957,-430,0.79,6,sell
3/11,2317,花旗環球,1590,1243,522,721,1.32,7,buy
3/11,2317,新光,8560,175,604,-429,0.78,7,sell
3/11,2317,中國信託-高雄,003600310036004b,564,62,502,0.92,8,buy
3/11,2317,香港上海匯豐,8960,113,537,-424,0.78,8,sell
3/11,2317,凱基,9200,512,94,418,0.76,9,buy
3/11,2317,富邦證券,9600,226,647,-421,0.77,9,sell
3/11,2317,國票-南京,003700370039006e,277,11,266,0.49,10,buy
3/11,2317,台新證券,8150,674,1045,-371,0.68,10,sell
3/11,2317,摩根大通,8440,1544,1340,204,0.37,11,buy
3/11,2317,華南永昌,9300,564,895,-331,0.61,11,sell
3/11,2317,港商麥格理,1360,331,147,184,0.34,12,buy
3/11,2317,統一-新竹,5857,17,333,-316,0.58,12,sell
3/11,2317,群益金鼎,9100,203,54,149,0.27,13,buy
3/11,2317,玉山證券,8840,71,353,-282,0.52,13,sell
3/11,2317,永豐金-匯立,0039004100380031,114,0,114,0.21,14,buy
3/11,2317,中國信託-三重,6161,13,220,-207,0.38,14,sell
3/11,2317,福邦證券,6480,112,9,103,0.19,15,buy
3/11,2317,統一-南京,0035003800350055,40,236,-196,0.36,15,sell
3/11,2454,摩根大通,8440,776,279,497,8.13,1,buy
3/11,2454,台灣摩根士丹利,1470,108,658,-550,9.0,1,sell
3/11,2454,港商野村,1560,317,10,307,5.02,2,buy
3/11,2454,美林,1440,90,514,-424,6.94,2,sell
3/11,2454,永豐金證券,0039004100300030,432,186,246,4.03,3,buy
